order_id,user_id,order_date,revenue
O000107,U02522,2025-08-20,135.39
O000108,U07166,2025-06-27,38.98
O000109,U00601,2025-06-07,90.17
O000110,U10551,2025-05-27,60.18
O000111,U09747,2025-11-02,122.44
O000112,U04684,2025-09-08,140.32
O000113,U01520,2025-12-05,128.65
O000114,U02390,2025-12-08,157.31
O000115,U09097,2025-05-12,102.4
O000116,U09842,2025-08-25,167.26
O000117,U01117,2025-01-12,46.2
O000118,U07300,2025-05-23,136.85
O000119,U09716,2026-02-03,48.87
O000120,U04721,2026-01-29,227.73
O000121,U06141,2025-04-28,124.12
O000122,U03080,2025-03-02,121.77
O000123,U07939,2026-02-07,41.19
O000124,U04777,2025-06-30,21.45
O000125,U07265,2025-11-09,75.55
O000126,U03801,2025-09-22,165.99
O000127,U07057,2025-01-29,109.62
O000128,U10127,2025-09-20,126.25
O000129,U07510,2025-07-19,73.17
O000130,U08099,2025-04-15,93.71
O000131,U06081,2026-02-05,215.87
O000132,U03627,2025-03-20,124.83
O000133,U04380,2025-05-24,213.73
O000134,U05379,2025-07-18,81.18
O000135,U02542,2025-04-16,54.37
O000136,U04450,2025-12-05,61.98
O000137,U06960,2025-03-30,249.46
O000138,U00199,2025-11-28,179.68
O000139,U06996,2025-09-23,143.07
O000140,U02183,2025-09-08,38.51
O000141,U05043,2025-06-01,216.81
O000142,U10867,2025-11-02,116.42
O000143,U04036,2025-07-15,129.96
O000144,U05012,2025-05-06,202.69
O000145,U07834,2025-02-12,33.53
O000146,U03493,2025-06-22,112.05
O000147,U03972,2025-02-23,79.05
O000148,U09556,2025-09-10,102.48
O000149,U01852,2025-10-26,65.4
O000150,U08579,2025-07-15,144.6
O000151,U01662,2025-10-20,40.14
O000152,U07589,2025-08-05,85.99
O000153,U10650,2025-06-18,45.53
O000154,U00212,2025-08-10,58.49
O000155,U04655,2025-05-08,132.54
O000156,U08749,2026-01-20,237.57
O000157,U10797,2025-12-15,66.14
O000158,U03119,2025-01-16,142.2
O000159,U06645,2025-02-06,66.17
O000160,U02691,2026-01-26,154.01
O000161,U01994,2025-10-23,79.94
O000162,U05048,2025-11-16,130.68
O000163,U00474,2025-08-13,99.86
O000164,U09959,2025-04-24,144.22
O000165,U08233,2025-01-22,100.48
O000166,U10843,2025-10-26,120.87
O000167,U10287,2025-03-03,61.09
O000168,U03992,2025-07-01,31.57
O000169,U10178,2026-02-15,30.71
O000170,U04823,2025-10-12,140.69
O000171,U03517,2025-01-16,57.23
O000172,U02268,2026-01-30,61.37
O000173,U09836,2025-10-04,54.26
O000174,U00939,2025-05-17,60.12
O000175,U04438,2025-10-10,51.17
O000176,U06298,2025-05-07,98.65
O000177,U02985,2025-03-27,40.11
O000178,U10219,2025-07-26,107.38
O000179,U04989,2025-12-29,82.29
O000180,U06028,2025-05-31,107.06
O000181,U09556,2025-02-20,90.02
O000182,U09042,2025-08-19,35.72
O000183,U08422,2025-03-21,40.71
O000184,U02499,2025-05-11,83.38
O000185,U07620,2026-02-04,153.16
O000186,U10496,2025-05-16,61.92
O000187,U10673,2025-12-12,40.99
O000188,U04304,2025-06-19,109.28
O000189,U02903,2025-06-12,148.11
O000190,U07763,2025-07-18,185.1
O000191,U10960,2025-08-15,86.9
O000192,U07964,2025-02-17,82.66
O000193,U10275,2025-11-06,54.9
O000194,U09430,2025-09-10,60.07
O000195,U02074,2025-04-13,84.42
O000196,U07825,2025-02-05,51.49
O000197,U02065,2025-01-06,22.82
O000198,U08821,2025-07-18,119.39
O000199,U03208,2025-01-12,118.47
O000200,U04674,2025-04-13,19.85
O000201,U09094,2025-07-06,110.25
O000202,U09245,2025-11-17,151.01
O000203,U00122,2025-06-27,132.1
O000204,U00956,2025-06-20,112.1
O000205,U05096,2025-06-26,173.16
O000206,U00986,2025-03-30,127.55
O000207,U09443,2025-07-23,176.87
O000208,U04433,2025-12-13,159.11
O000209,U00990,2025-12-09,17.17
O000210,U10512,2025-07-30,23.51
O000211,U07925,2025-08-01,73.4
O000212,U05556,2025-01-21,175.87
O000213,U09093,2025-03-29,89.89
O000214,U10278,2025-01-13,95.43
O000215,U06825,2025-04-30,94.28
O000216,U04709,2026-02-03,64.85
O000217,U07973,2025-06-27,79.32
O000218,U03580,2025-05-09,34.24
O000219,U02802,2025-02-20,149.52
O000220,U02204,2025-02-11,48.23
O000221,U00871,2025-11-14,28.36
O000222,U02824,2025-04-05,65.34
O000223,U06095,2025-08-30,24.96
O000224,U10695,2025-12-22,42.05
O000225,U03403,2025-03-02,207.01
O000226,U06153,2025-12-15,114.75
O000227,U10383,2025-08-16,365.17
O000228,U05550,2026-02-12,52.51
O000229,U03882,2026-02-15,158.98
O000230,U03207,2025-10-04,108.47
O000231,U03097,2025-01-18,190.77
O000232,U03078,2025-09-01,225.67
O000233,U02638,2025-11-07,110.26
O000234,U05551,2025-11-20,128.7
O000235,U02946,2025-02-16,76.47
O000236,U03471,2025-11-06,35.1
O000237,U04302,2025-01-18,42.56
O000238,U01624,2026-01-19,36.46
O000239,U09717,2025-07-20,135.44
O000240,U01482,2025-09-10,75.07
O000241,U00258,2025-07-11,96.2
O000242,U00453,2025-02-18,12.66
O000243,U08990,2025-04-04,65.82
O000244,U04470,2025-08-25,99.86
O000245,U02511,2025-08-10,139.03
O000246,U04170,2025-06-16,44.75
O000247,U08433,2025-09-11,95.68
O000248,U05136,2025-02-26,48.29
O000249,U01712,2025-01-06,127.94
O000250,U07426,2025-08-26,81.8
O000251,U02002,2025-08-09,211.78
O000252,U08151,2025-08-12,88.54
O000253,U06254,2025-03-19,268.48
O000254,U03327,2025-01-20,112.67
O000255,U10473,2025-11-02,123.6
O000256,U08688,2025-09-22,115.88
O000257,U08035,2025-07-23,120.44
O000258,U03111,2025-05-22,320.36
O000259,U05241,2026-01-11,124.52
O000260,U08918,2026-02-11,95.64
O000261,U01831,2025-10-31,91.76
O000262,U01821,2025-03-21,157.51
O000263,U01816,2025-07-29,97.44
O000264,U00091,2025-09-13,44.23
O000265,U03432,2025-11-08,77.14
O000266,U01969,2026-01-12,169.37
O000267,U02384,2025-02-09,154.65
O000268,U03679,2025-12-19,57.27
O000269,U00602,2025-07-21,23.46
O000270,U00427,2025-03-27,134.01
O000271,U10211,2025-02-12,198.03
O000272,U09648,2025-08-24,39.37
O000273,U08198,2026-01-13,85.39
O000274,U06263,2025-03-11,112.42
O000275,U02434,2025-12-22,112.04
O000276,U01373,2025-05-11,94.39
O000277,U08832,2025-05-12,62.77
O000278,U05162,2025-09-05,35.2
O000279,U10422,2025-06-04,83.79
O000280,U06840,2025-08-18,55.93
O000281,U03811,2025-03-30,64.26
O000282,U03306,2025-08-17,123.63
O000283,U08637,2025-01-27,42.82
O000284,U08704,2025-12-27,143.95
O000285,U09181,2025-12-22,75.84
O000286,U06356,2025-08-26,41.87
O000287,U01401,2025-06-24,128.71
O000288,U10004,2025-11-12,56.87
O000289,U00545,2025-10-19,53.73
O000290,U02533,2026-01-09,293.55
O000291,U02009,2025-03-02,61.2
O000292,U05901,2025-06-19,84.6
O000293,U04085,2025-09-20,123.11
O000294,U02215,2025-11-02,15.42
O000295,U04985,2025-04-26,24.83
O000296,U09019,2025-06-24,46.54
O000297,U02184,2025-08-09,55.03
O000298,U10354,2025-05-08,123.47
O000299,U01275,2025-01-05,75.59
O000300,U09708,2025-11-22,13.79
O000301,U09504,2025-07-05,152.69
O000302,U05168,2025-06-21,105.27
O000303,U03523,2025-07-18,17.28
O000304,U08707,2025-08-19,68.57
O000305,U04783,2025-10-15,96.56
O000306,U01019,2025-12-01,190.83
O000307,U09487,2025-04-25,55.78
O000308,U07598,2025-11-29,47
O000309,U01049,2025-11-26,97.6
O000310,U02340,2025-11-09,9.18
O000311,U07573,2025-01-11,34.1
O000312,U09449,2025-04-14,117.13
O000313,U02278,2025-06-24,153.98
O000314,U02985,2026-01-21,41
O000315,U05705,2026-01-09,59.12
O000316,U01144,2025-04-30,76.41
O000317,U07630,2025-08-25,73.54
O000318,U00705,2025-08-24,87.78
O000319,U02424,2025-11-01,140.21
O000320,U01934,2025-02-07,136.27
O000321,U02484,2025-09-29,147.69
O000322,U06996,2026-01-11,259.99
O000323,U01745,2025-12-10,99.49
O000324,U05764,2025-09-08,75.15
O000325,U09161,2026-01-10,39.93
O000326,U02546,2025-11-30,54.73
O000327,U10839,2025-01-27,126.88
O000328,U05628,2025-11-26,101.06
O000329,U00777,2025-05-03,22.97
O000330,U09525,2025-06-05,98.3
O000331,U10309,2025-08-05,66.65
O000332,U10580,2025-07-13,113.45
O000333,U03114,2025-10-28,364.62
O000334,U02936,2025-06-10,169.56
O000335,U04110,2025-05-08,106.37
O000336,U01345,2025-11-12,231.12
O000337,U02041,2025-06-27,30.32
O000338,U02674,2025-05-06,261.17
O000339,U07504,2025-06-23,120.38
O000340,U09747,2025-02-04,157.42
O000341,U00689,2025-08-27,112.91
O000342,U09726,2025-02-10,89.77
O000343,U07056,2025-07-05,74.32
O000344,U00119,2025-07-02,292.57
O000345,U06169,2026-01-24,242.57
O000346,U05832,2025-09-18,118.91
O000347,U01613,2026-02-10,109.11
O000348,U07623,2025-02-03,95.93
O000349,U03033,2025-07-06,36.03
O000350,U10975,2026-02-05,258.72
O000351,U02936,2025-11-03,90.48
O000352,U05659,2025-05-17,233.15
O000353,U10818,2025-07-21,122.04
O000354,U09341,2026-01-16,13.21
O000355,U05067,2025-05-23,328.43
O000356,U04802,2025-04-19,78.97
O000357,U09901,2025-06-06,39.02
O000358,U03158,2025-09-12,44.29
O000359,U09558,2025-06-30,93.21
O000360,U04490,2026-02-13,76.8
O000361,U00455,2025-12-07,87.62
O000362,U07643,2025-08-07,40.05
O000363,U04620,2025-01-28,132.33
O000364,U08867,2025-05-31,29.51
O000365,U09193,2025-12-25,81.71
O000366,U09087,2025-04-10,187.27
O000367,U05099,2025-01-03,30.45
O000368,U10546,2025-02-02,58.96
O000369,U00059,2025-07-18,48.78
O000370,U06199,2025-03-10,14.25
O000371,U06311,2025-03-31,113.07
O000372,U05531,2025-01-17,109.64
O000373,U02764,2025-12-03,93.28
O000374,U07008,2026-01-02,291.29
O000375,U01794,2025-11-19,108.9
O000376,U10721,2025-11-19,66.14
O000377,U10134,2025-02-03,58.66
O000378,U05686,2025-09-21,3.82
O000379,U03487,2025-10-28,76.86
O000380,U04987,2025-03-01,119.03
O000381,U03421,2025-07-03,68.5
O000382,U06580,2025-11-22,118.1
O000383,U05532,2025-12-23,77.66
O000384,U01373,2025-12-31,139.09
O000385,U03553,2026-02-10,226.68
O000386,U03672,2025-07-18,339.78
O000387,U08144,2025-08-29,42.39
O000388,U09274,2025-08-20,83.37
O000389,U09125,2025-07-30,47.89
O000390,U10779,2026-01-03,36.25
O000391,U05437,2025-02-21,105.38
O000392,U08163,2025-04-29,36.25
O000393,U07446,2025-11-26,94.89
O000394,U08749,2025-08-03,108.32
O000395,U05965,2025-11-18,52.27
O000396,U05915,2025-05-29,86.29
O000397,U09734,2026-02-12,64.89
O000398,U06115,2025-06-25,60.76
O000399,U05094,2026-01-12,54.55
O000400,U02382,2025-09-26,88.19
O000401,U04098,2025-11-16,96.7
O000402,U09199,2025-01-05,91.92
O000403,U09473,2026-02-06,91.42
O000404,U04358,2025-04-26,220.57
O000405,U08312,2025-07-22,137.59
O000406,U09096,2025-02-06,32.43
O000407,U00139,2025-02-23,114.77
O000408,U07644,2025-10-15,84.66
O000409,U01815,2025-10-11,198.37
O000410,U05408,2025-03-27,60.7
O000411,U04301,2025-02-14,11.65
O000412,U07285,2025-10-11,100.18
O000413,U09220,2025-11-17,72.06
O000414,U10446,2025-03-11,133.45
O000415,U06778,2025-02-11,175.58
O000416,U08536,2025-09-29,144.76
O000417,U02419,2025-05-21,58.29
O000418,U03235,2026-02-09,88.36
O000419,U02594,2025-02-28,55.12
O000420,U01387,2025-08-28,112.48
O000421,U00983,2025-02-16,128.25
O000422,U02122,2025-06-16,67.83
O000423,U05419,2025-04-20,94.97
O000424,U02994,2025-05-06,4.58
O000425,U07056,2025-10-26,40.51
O000426,U07548,2026-02-15,14.52
O000427,U06853,2025-04-19,90.75
O000428,U02900,2025-06-14,164.49
O000429,U00775,2026-01-05,117.62
O000430,U04981,2025-09-16,244.94
O000431,U00735,2025-03-17,111.8
O000432,U06777,2025-01-07,251.96
O000433,U07753,2025-07-05,41.31
O000434,U05147,2025-10-03,79.47
O000435,U01486,2025-03-20,95.5
O000436,U00395,2025-03-06,42.36
O000437,U02001,2025-04-25,50.27
O000438,U08555,2025-07-21,90.58
O000439,U08062,2025-05-22,50.94
O000440,U10046,2025-04-08,59.3
O000441,U07268,2025-11-01,198.02
O000442,U05877,2025-08-05,117.99
O000443,U04188,2025-03-15,143.58
O000444,U04361,2025-10-20,85.96
O000445,U06349,2025-05-14,103.81
O000446,U06180,2025-09-19,25.2
O000447,U07794,2025-10-11,39.65
O000448,U00743,2025-04-12,59.31
O000449,U06162,2026-01-12,98.97
O000450,U00373,2025-07-25,12.62
O000451,U05905,2025-05-21,52.18
O000452,U04127,2025-01-13,69.05
O000453,U08331,2025-09-06,72.77
O000454,U05689,2025-05-03,67.2
O000455,U03020,2025-01-10,78.65
O000456,U03292,2025-03-21,82.99
O000457,U06876,2025-06-16,59.05
O000458,U06897,2025-04-09,36.99
O000459,U05338,2025-07-26,121.85
O000460,U01564,2025-05-31,240.73
O000461,U00057,2025-02-06,173.71
O000462,U03496,2026-01-12,88.46
O000463,U05394,2025-09-21,128.86
O000464,U10379,2025-12-08,94.73
O000465,U05142,2025-01-05,55.91
O000466,U02948,2026-01-13,70.18
O000467,U04473,2025-08-14,159.28
O000468,U08564,2025-01-27,83.6
O000469,U03134,2025-05-04,41.7
O000470,U01587,2026-02-07,211.3
O000471,U08969,2025-10-26,163.8
O000472,U04262,2025-02-04,37.09
O000473,U06666,2025-08-25,366.2
O000474,U03678,2025-11-07,138.94
O000475,U10740,2025-11-13,195.09
O000476,U00998,2025-10-30,73.08
O000477,U08751,2025-04-12,41.91
O000478,U03343,2025-03-18,150.62
O000479,U03501,2025-11-08,97.15
O000480,U04014,2025-03-23,99.87
O000481,U05107,2025-05-26,56.03
O000482,U04328,2025-07-12,139.53
O000483,U04655,2025-08-12,69.26
O000484,U05327,2025-02-22,240.73
O000485,U07620,2025-12-11,82.87
O000486,U05858,2025-03-26,109.27
O000487,U05620,2026-01-30,67.83
O000488,U09112,2026-01-03,124.6
O000489,U07004,2025-05-09,27.48
O000490,U01242,2025-07-30,25.19
O000491,U07015,2025-12-18,31.27
O000492,U00080,2025-09-21,120.5
O000493,U02661,2026-02-07,52.51
O000494,U04798,2025-07-02,78.76
O000495,U00540,2025-09-29,44.13
O000496,U05945,2025-08-15,70.6
O000497,U06908,2025-11-18,107.56
O000498,U09466,2025-01-12,140.56
O000499,U02785,2025-04-03,106.59
O000500,U03486,2025-11-26,139.58
O000501,U03157,2025-07-09,57.63
O000502,U04717,2025-03-27,42.82
O000503,U05336,2025-12-20,79.61
O000504,U07165,2025-10-04,164.07
O000505,U02243,2025-10-20,83.75
O000506,U09512,2025-09-18,68.56
O000507,U02993,2025-07-17,143.41
O000508,U02091,2025-11-19,42.35
O000509,U05209,2025-01-10,150.58
O000510,U07645,2025-03-29,44.98
O000511,U05740,2025-12-06,95.47
O000512,U04154,2025-11-14,93.98
O000513,U08670,2025-02-06,144.49
O000514,U02665,2025-08-11,130.35
O000515,U06018,2025-06-24,70.19
O000516,U01756,2025-07-28,98.25
O000517,U09990,2025-02-18,149.71
O000518,U05713,2025-01-24,249.09
O000519,U03120,2025-12-04,123.48
O000520,U05151,2026-02-14,246.95
O000521,U05605,2025-04-16,53.82
O000522,U02578,2025-11-07,90.27
O000523,U01026,2025-09-20,91.9
O000524,U04473,2025-07-25,51.2
O000525,U04667,2025-06-18,104.94
O000526,U01954,2026-01-21,189.01
O000527,U09756,2025-06-07,89.19
O000528,U00586,2025-08-29,140.12
O000529,U00684,2025-05-03,63.96
O000530,U06042,2025-01-20,80.64
O000531,U03268,2025-02-25,34.61
O000532,U00658,2025-10-07,13.99
O000533,U01296,2025-04-18,61.68
O000534,U01525,2025-05-20,103.91
O000535,U10274,2025-04-01,146.73
O000536,U07150,2025-09-28,165.33
O000537,U07792,2025-11-25,47.79
O000538,U06604,2025-07-29,137.93
O000539,U05789,2025-06-25,184.03
O000540,U07420,2025-03-02,286.38
O000541,U05753,2025-10-11,75.95
O000542,U09263,2026-01-01,92.28
O000543,U06634,2025-01-03,154.38
O000544,U10512,2025-09-29,34.32
O000545,U05108,2025-06-13,90.65
O000546,U10766,2026-01-23,35.68
O000547,U05247,2025-01-09,173.22
O000548,U08401,2026-01-01,116.59
O000549,U00623,2025-01-12,114.94
O000550,U09997,2025-03-15,63.79
O000551,U05261,2025-08-26,198.62
O000552,U04268,2025-10-27,17.95
O000553,U05984,2025-04-18,57.5
O000554,U03749,2026-02-07,82.06
O000555,U04542,2025-01-13,101.91
O000556,U00010,2025-08-22,131.35
O000557,U00760,2025-09-02,94.3
O000558,U09519,2025-11-17,90.89
O000559,U01177,2025-04-02,57.27
O000560,U10562,2025-12-26,55.2
O000561,U09168,2025-07-17,75.74
O000562,U02492,2025-04-26,25.52
O000563,U02389,2025-05-11,91.14
O000564,U06364,2025-12-31,175.66
O000565,U10649,2025-06-02,198.82
O000566,U02552,2025-05-01,104.54
O000567,U01482,2025-04-18,243.69
O000568,U02310,2025-01-16,171.13
O000569,U03741,2025-10-26,112.8
O000570,U07285,2025-02-25,116.3
O000571,U07617,2026-01-27,25.01
O000572,U03839,2025-04-13,71.52
O000573,U07581,2025-07-27,71.45
O000574,U02755,2025-05-31,156.26
O000575,U09014,2025-09-19,63.92
O000576,U03597,2025-02-12,59.51
O000577,U08652,2025-10-27,193.44
O000578,U05237,2025-04-28,139.04
O000579,U01740,2025-12-02,204.33
O000580,U02124,2025-10-06,91.55
O000581,U09636,2025-05-24,29.33
O000582,U05291,2025-08-16,34.13
O000583,U03097,2025-07-23,70.86
O000584,U05247,2025-08-17,134.52
O000585,U04469,2025-09-22,216.39
O000586,U08845,2025-05-17,33.09
O000587,U04999,2025-08-28,56.57
O000588,U08935,2025-07-05,61.72
O000589,U06566,2025-11-11,142.61
O000590,U07344,2025-05-31,54.91
O000591,U00852,2025-11-21,71.24
O000592,U04926,2026-02-07,129.76
O000593,U09753,2025-10-18,115.25
O000594,U05068,2025-12-19,32.83
O000595,U10868,2025-04-20,201.53
O000596,U05389,2025-02-09,23.83
O000597,U01318,2025-05-22,111.12
O000598,U00121,2025-12-06,35.37
O000599,U04254,2026-01-07,49.27
O000600,U08498,2025-01-13,97.45
O000601,U09304,2025-02-22,39.91
O000602,U01896,2025-03-21,1.61
O000603,U05976,2025-08-21,63.41
O000604,U08006,2025-12-17,47.18
O000605,U08537,2025-02-08,62.74
O000606,U03911,2025-08-15,47.3
O000607,U08340,2025-12-06,30.32
O000608,U01039,2025-05-01,176.16
O000609,U09582,2025-03-06,131.18
O000610,U03904,2025-10-23,61.75
O000611,U04876,2025-07-24,62.25
O000612,U08309,2025-05-15,137.33
O000613,U00703,2025-02-14,125.14
O000614,U02955,2025-10-05,55.33
O000615,U05470,2025-05-15,137.49
O000616,U06440,2026-01-13,130.74
O000617,U02024,2025-02-21,107.93
O000618,U04996,2025-08-17,225.37
O000619,U06569,2025-12-22,76.89
O000620,U04345,2025-03-09,145.29
O000621,U10149,2025-07-17,156.05
O000622,U05862,2025-03-08,78.06
O000623,U05634,2025-01-03,124.47
O000624,U10991,2025-02-27,46.4
O000625,U00997,2026-01-11,185.11
O000626,U00405,2025-09-13,40.01
O000627,U00243,2025-12-22,179.58
O000628,U07967,2025-09-22,43.95
O000629,U02414,2025-01-16,37.3
O000630,U03856,2025-09-25,60.51
O000631,U06263,2025-04-12,44.2
O000632,U07938,2026-02-08,50.3
O000633,U09797,2025-10-14,81.32
O000634,U08624,2025-08-10,49.74
O000635,U10998,2025-01-21,56.88
O000636,U01141,2026-01-22,60.47
O000637,U04126,2025-01-21,90.04
O000638,U03024,2025-04-02,57.8
O000639,U09364,2025-10-11,203.56
O000640,U07007,2025-05-13,85.61
O000641,U03456,2025-11-23,46.85
O000642,U05999,2025-11-25,22.69
O000643,U04197,2025-06-24,106.74
O000644,U09287,2025-08-01,141.16
O000645,U05824,2025-05-28,90.21
O000646,U06766,2025-08-20,306.05
O000647,U02852,2026-01-07,145.83
O000648,U02455,2025-06-14,126.59
O000649,U07514,2025-11-10,72.16
O000650,U01390,2025-05-25,243.48
O000651,U04925,2025-10-25,63.09
O000652,U02836,2025-08-11,143.67
O000653,U00617,2025-12-19,150.04
O000654,U10788,2025-03-03,88.4
O000655,U02469,2025-04-06,263.47
O000656,U02702,2025-04-22,79.85
O000657,U06257,2026-01-11,33.43
O000658,U08105,2025-03-28,101.45
O000659,U03165,2026-02-09,150.14
O000660,U08451,2025-09-12,49.15
O000661,U10483,2026-01-25,259.5
O000662,U04430,2025-04-23,87.32
O000663,U09238,2025-09-11,139.72
O000664,U05992,2025-12-14,43.41
O000665,U06597,2025-11-18,205.34
O000666,U01407,2025-02-01,262.19
O000667,U09592,2025-03-05,60.87
O000668,U09201,2025-06-03,175.16
O000669,U05557,2025-01-05,128.09
O000670,U06999,2026-01-30,73.98
O000671,U07589,2026-01-19,151.78
O000672,U03406,2025-11-26,61.47
O000673,U05700,2025-07-29,266.3
O000674,U08127,2025-04-02,46.55
O000675,U04227,2025-08-10,76.57
O000676,U09936,2025-07-09,152.35
O000677,U10740,2025-03-01,93.78
O000678,U01545,2025-07-24,33.81
O000679,U07307,2025-07-31,38.46
O000680,U08132,2025-09-15,6.15
O000681,U00134,2025-03-30,17.83
O000682,U02859,2025-08-24,87.11
O000683,U10333,2025-12-29,126.28
O000684,U06003,2026-01-06,129.31
O000685,U01264,2025-11-28,217.06
O000686,U01772,2026-02-13,41.79
O000687,U00164,2025-07-15,36.57
O000688,U08811,2025-11-28,58.16
O000689,U08422,2025-07-02,21.84
O000690,U06725,2025-09-08,58.09
O000691,U02780,2025-08-12,293.43
O000692,U07753,2025-06-20,142.11
O000693,U05298,2025-07-17,112.96
O000694,U09569,2025-09-06,245.72
O000695,U06814,2025-06-30,79.62
O000696,U10083,2026-01-19,134.32
O000697,U03752,2025-10-04,115.15
O000698,U03972,2026-02-08,137.51
O000699,U03232,2025-10-02,115.17
O000700,U07594,2025-06-10,64.48
O000701,U00402,2025-09-05,157.2
O000702,U07199,2025-11-15,17.62
O000703,U06264,2025-07-07,31.83
O000704,U10966,2025-01-19,161.04
O000705,U04480,2025-09-01,69.47
O000706,U06619,2025-04-23,67.77
O000707,U02607,2025-10-05,45.2
O000708,U09382,2025-02-20,113.85
O000709,U08580,2025-12-10,66.58
O000710,U03404,2025-05-03,74.21
O000711,U05642,2025-08-26,33.13
O000712,U09965,2025-11-15,93.18
O000713,U00789,2025-03-03,68.72
O000714,U06896,2025-03-15,190.12
O000715,U01494,2025-09-02,93.35
O000716,U02751,2025-02-01,34.9
O000717,U09739,2025-06-02,114.44
O000718,U06710,2025-05-24,206.61
O000719,U00820,2025-01-15,126.51
O000720,U05140,2025-10-31,63.08
O000721,U05138,2025-10-01,102.18
O000722,U09671,2025-09-02,53.5
O000723,U02369,2025-10-06,171.99
O000724,U04065,2025-02-24,106.04
O000725,U01463,2025-02-11,60.61
O000726,U01907,2026-01-22,75.72
O000727,U06201,2025-12-25,35.81
O000728,U07895,2025-02-21,140.91
O000729,U07825,2025-01-11,51.49
O000730,U03965,2025-11-07,237.58
O000731,U09508,2025-03-29,140.18
O000732,U00181,2025-08-15,86.75
O000733,U06000,2025-04-24,98.41
O000734,U10846,2025-01-25,161.63
