user_id,conversion_date,channel,country
U00120,2025-06-21,Affiliate,Spain
U00121,2025-12-26,Paid Social,UK
U00122,2025-08-02,Organic,Spain
U00123,2025-02-04,Affiliate,Germany
U00124,2025-08-15,Paid Search,Spain
U00125,2025-04-11,Affiliate,Germany
U00126,2025-05-11,Paid Social,France
U00127,2025-09-14,Partnerships,France
U00128,2025-01-05,Organic,Spain
U00129,2025-08-06,Paid Social,Spain
U00130,2025-09-12,Paid Social,France
U00131,2025-12-25,Paid Search,Germany
U00132,2025-10-10,Affiliate,France
U00133,2025-07-26,Paid Social,France
U00134,2025-01-15,Paid Social,Germany
U00135,2025-12-12,Paid Search,France
U00136,2025-02-11,Paid Social,Spain
U00137,2025-06-28,Organic,Spain
U00138,2025-03-04,Paid Social,France
U00139,2025-12-18,Affiliate,Spain
U00140,2025-08-19,Organic,UK
U00141,2025-08-29,Partnerships,France
U00142,2025-02-21,Paid Social,UK
U00143,2025-04-06,Affiliate,France
U00144,2025-08-10,Organic,France
U00145,2025-08-19,Paid Search,UK
U00146,2025-08-25,Paid Social,France
U00147,2025-05-23,Paid Search,Spain
U00148,2025-06-20,Paid Social,UK
U00149,2025-01-29,Paid Social,France
U00150,2025-02-05,Partnerships,Spain
U00151,2025-01-13,Paid Search,UK
U00152,2025-06-09,Affiliate,UK
U00153,2025-11-23,Affiliate,Spain
U00154,2025-07-06,Paid Social,France
U00155,2025-08-31,Partnerships,France
U00156,2025-03-27,Paid Social,UK
U00157,2025-10-11,Organic,Germany
U00158,2025-03-07,Paid Social,France
U00159,2025-06-19,Affiliate,France
U00160,2025-02-14,Organic,Spain
U00161,2025-03-03,Paid Social,Germany
U00162,2025-05-14,Paid Search,Germany
U00163,2025-10-11,Partnerships,UK
U00164,2025-01-28,Paid Social,Spain
U00165,2025-04-18,Organic,Spain
U00166,2025-02-13,Organic,France
U00167,2025-12-06,Paid Social,UK
U00168,2025-10-13,Paid Social,France
U00169,2025-11-27,Paid Social,Germany
U00170,2025-05-08,Paid Social,Spain
U00171,2025-12-14,Organic,UK
U00172,2025-08-19,Organic,France
U00173,2025-07-09,Paid Social,France
U00174,2025-08-13,Paid Search,Germany
U00175,2025-10-10,Paid Social,Spain
U00176,2025-05-01,Paid Social,Germany
U00177,2025-04-26,Organic,France
U00178,2025-08-21,Paid Search,Spain
U00179,2025-09-16,Organic,Spain
U00180,2025-12-25,Partnerships,Germany
U00181,2025-07-17,Partnerships,Spain
U00182,2025-05-17,Paid Social,Germany
U00183,2025-11-14,Partnerships,Spain
U00184,2025-06-14,Affiliate,Spain
U00185,2025-08-13,Organic,UK
U00186,2025-11-03,Paid Social,Spain
U00187,2025-08-22,Paid Social,France
U00188,2025-06-21,Affiliate,UK
U00189,2025-06-01,Paid Search,Germany
U00190,2025-11-11,Paid Social,France
U00191,2025-06-09,Organic,Germany
U00192,2025-04-06,Paid Search,Germany
U00193,2025-08-21,Paid Social,France
U00194,2025-06-29,Paid Social,Germany
U00195,2025-04-23,Affiliate,UK
U00196,2025-11-14,Paid Search,France
U00197,2025-02-21,Affiliate,Germany
U00198,2025-09-25,Paid Search,Germany
U00199,2025-10-22,Paid Search,Spain
U00200,2025-04-23,Partnerships,Spain
U00201,2025-04-11,Paid Social,Germany
U00202,2025-04-23,Organic,France
U00203,2025-03-22,Paid Search,UK
U00204,2025-07-06,Paid Social,Germany
U00205,2025-04-23,Paid Search,Germany
U00206,2025-01-02,Paid Social,Germany
U00207,2025-05-10,Organic,Spain
U00208,2025-08-08,Organic,France
U00209,2025-02-23,Paid Search,Germany
U00210,2025-12-09,Affiliate,Spain
U00211,2025-08-12,Affiliate,Germany
U00212,2025-08-13,Paid Search,Germany
U00213,2025-05-06,Paid Search,France
U00214,2025-05-10,Organic,Spain
U00215,2025-02-22,Organic,UK
U00216,2025-06-21,Organic,France
U00217,2025-08-06,Organic,UK
U00218,2025-06-09,Partnerships,Spain
U00219,2025-07-17,Paid Social,Spain
U00220,2025-09-04,Paid Search,UK
U00221,2025-11-20,Paid Search,Spain
U00222,2025-07-22,Partnerships,France
U00223,2025-07-03,Organic,Germany
U00224,2025-05-03,Organic,UK
U00225,2025-09-12,Organic,Germany
U00226,2025-10-21,Organic,UK
U00227,2025-10-07,Organic,Germany
U00228,2025-11-21,Paid Search,Germany
U00229,2025-04-08,Organic,France
U00230,2025-07-17,Affiliate,Germany
U00231,2025-08-28,Paid Social,UK
U00232,2025-05-24,Organic,Germany
U00233,2025-04-07,Organic,Spain
U00234,2025-07-20,Paid Search,Germany
U00235,2025-05-04,Paid Search,Germany
U00236,2025-07-06,Partnerships,Spain
U00237,2025-11-22,Affiliate,Spain
U00238,2025-12-15,Organic,UK
U00239,2025-09-16,Paid Search,Spain
U00240,2025-05-28,Paid Search,Spain
U00241,2025-09-09,Paid Social,UK
U00242,2025-12-12,Paid Search,UK
U00243,2025-05-27,Paid Search,Germany
U00244,2025-05-28,Organic,France
U00245,2025-12-18,Paid Social,UK
U00246,2025-07-18,Paid Social,Spain
U00247,2025-11-04,Paid Search,Germany
U00248,2025-05-08,Paid Social,Spain
U00249,2025-02-08,Organic,UK
U00250,2025-12-04,Affiliate,France
U00251,2025-12-26,Organic,Germany
U00252,2025-05-09,Paid Social,UK
U00253,2025-09-24,Paid Social,UK
U00254,2025-05-31,Paid Social,Spain
U00255,2025-10-25,Paid Social,France
U00256,2025-04-09,Organic,UK
U00257,2025-09-20,Paid Social,Spain
U00258,2025-09-09,Partnerships,Germany
U00259,2025-05-24,Paid Search,Spain
U00260,2025-12-12,Partnerships,Germany
U00261,2025-04-22,Organic,Spain
U00262,2025-03-01,Affiliate,France
U00263,2025-01-02,Affiliate,Spain
U00264,2025-10-31,Organic,France
U00265,2025-09-11,Affiliate,France
U00266,2025-05-20,Paid Social,Germany
U00267,2025-02-06,Paid Social,Spain
U00268,2025-06-09,Partnerships,Spain
U00269,2025-01-09,Partnerships,Spain
U00270,2025-08-21,Paid Social,France
U00271,2025-04-09,Paid Social,UK
U00272,2025-05-27,Organic,Spain
U00273,2025-10-31,Paid Search,Spain
U00274,2025-07-27,Paid Social,UK
U00275,2025-05-11,Paid Search,Germany
U00276,2025-06-01,Organic,Spain
U00277,2025-02-23,Paid Search,UK
U00278,2025-04-30,Partnerships,Spain
U00279,2025-06-10,Paid Search,France
U00280,2025-04-26,Partnerships,UK
U00281,2025-03-16,Organic,France
U00282,2025-04-23,Paid Social,UK
U00283,2025-04-14,Affiliate,Germany
U00284,2025-12-06,Paid Social,France
U00285,2025-09-11,Paid Social,Spain
U00286,2025-08-15,Organic,UK
U00287,2025-04-22,Paid Social,Spain
U00288,2025-04-09,Partnerships,Germany
U00289,2025-06-02,Paid Search,UK
U00290,2025-12-15,Paid Search,Germany
U00291,2025-12-04,Paid Social,UK
U00292,2025-07-13,Affiliate,France
U00293,2025-11-06,Paid Social,Spain
U00294,2025-06-12,Partnerships,France
U00295,2025-07-27,Paid Search,France
U00296,2025-06-18,Paid Search,France
U00297,2025-06-10,Organic,France
U00298,2025-03-09,Organic,UK
U00299,2025-10-16,Paid Search,Spain
U00300,2025-10-04,Affiliate,UK
U00301,2025-10-31,Paid Social,UK
U00302,2025-05-15,Organic,UK
U00303,2025-07-14,Organic,France
U00304,2025-05-08,Organic,Germany
U00305,2025-02-02,Organic,France
U00306,2025-06-25,Paid Social,UK
U00307,2025-01-22,Organic,France
U00308,2025-08-26,Affiliate,Spain
U00309,2025-06-07,Paid Search,Spain
U00310,2025-02-07,Paid Social,France
U00311,2025-08-18,Organic,France
U00312,2025-12-31,Organic,Germany
U00313,2025-02-20,Paid Search,France
U00314,2025-09-21,Partnerships,France
U00315,2025-10-10,Organic,Germany
U00316,2025-01-27,Paid Social,France
U00317,2025-08-14,Paid Social,France
U00318,2025-10-04,Partnerships,France
U00319,2025-10-13,Paid Social,France
U00320,2025-04-07,Paid Search,France
U00321,2025-10-11,Partnerships,UK
U00322,2025-11-13,Organic,France
U00323,2025-10-31,Partnerships,Germany
U00324,2025-05-27,Organic,France
U00325,2025-01-04,Paid Social,UK
U00326,2025-02-04,Paid Search,Germany
U00327,2025-07-11,Affiliate,Germany
U00328,2025-02-18,Paid Social,France
U00329,2025-01-17,Organic,Spain
U00330,2025-06-21,Paid Search,UK
U00331,2025-08-08,Paid Social,Spain
U00332,2025-06-07,Paid Social,France
U00333,2025-02-15,Organic,UK
U00334,2025-01-06,Paid Search,Spain
U00335,2025-04-09,Paid Search,UK
U00336,2025-08-21,Paid Search,France
U00337,2025-02-06,Organic,UK
U00338,2025-10-07,Paid Search,France
U00339,2025-12-15,Paid Search,Spain
U00340,2025-10-29,Paid Search,UK
U00341,2025-06-30,Partnerships,Germany
U00342,2025-04-05,Paid Search,France
U00343,2025-04-09,Paid Social,UK
U00344,2025-07-07,Paid Social,Germany
U00345,2025-04-26,Affiliate,Germany
U00346,2025-07-10,Partnerships,Germany
U00347,2025-09-10,Affiliate,Germany
U00348,2025-06-10,Organic,France
U00349,2025-09-13,Organic,UK
U00350,2025-11-19,Paid Social,Germany
U00351,2025-05-08,Organic,UK
U00352,2025-01-18,Partnerships,UK
U00353,2025-10-08,Organic,Spain
U00354,2025-08-11,Paid Social,UK
U00355,2025-02-23,Affiliate,France
U00356,2025-02-27,Paid Social,France
U00357,2025-11-19,Organic,Germany
U00358,2025-12-26,Paid Search,UK
U00359,2025-06-23,Paid Search,France
U00360,2025-10-07,Paid Social,France
U00361,2025-04-24,Paid Search,France
U00362,2025-10-15,Affiliate,Germany
U00363,2025-12-08,Paid Search,France
U00364,2025-05-31,Paid Social,UK
U00365,2025-05-07,Organic,France
U00366,2025-06-04,Paid Social,France
U00367,2025-09-30,Partnerships,Germany
U00368,2025-04-14,Paid Search,UK
U00369,2025-10-26,Paid Search,France
U00370,2025-09-03,Organic,UK
U00371,2025-06-25,Organic,UK
U00372,2025-02-08,Paid Social,France
U00373,2025-06-19,Organic,Germany
U00374,2025-09-04,Organic,UK
U00375,2025-01-26,Organic,Spain
U00376,2025-12-21,Paid Social,France
U00377,2025-11-02,Paid Search,UK
U00378,2025-01-13,Affiliate,UK
U00379,2025-11-12,Partnerships,UK
U00380,2025-11-09,Paid Search,France
U00381,2025-02-05,Organic,Spain
U00382,2025-06-22,Paid Search,UK
U00383,2025-01-20,Paid Social,UK
U00384,2025-11-17,Paid Social,Germany
U00385,2025-09-21,Partnerships,France
U00386,2025-05-22,Paid Social,France
U00387,2025-05-23,Organic,UK
U00388,2025-04-02,Affiliate,Germany
U00389,2025-12-20,Organic,UK
U00390,2025-11-18,Organic,UK
U00391,2025-10-15,Partnerships,France
U00392,2025-08-03,Organic,Germany
U00393,2025-12-08,Paid Search,UK
U00394,2025-02-20,Paid Social,France
U00395,2025-06-02,Paid Search,UK
U00396,2025-07-05,Paid Social,UK
U00397,2025-03-04,Organic,Germany
U00398,2025-07-09,Paid Search,Germany
U00399,2025-05-05,Affiliate,Germany
U00400,2025-05-30,Affiliate,UK
U00401,2025-11-10,Affiliate,Spain
U00402,2025-02-27,Paid Social,Germany
U00403,2025-12-08,Organic,Spain
U00404,2025-11-01,Paid Search,Spain
U00405,2025-06-29,Paid Social,Spain
U00406,2025-06-19,Affiliate,France
U00407,2025-11-22,Partnerships,UK
U00408,2025-09-28,Paid Social,Germany
U00409,2025-02-23,Organic,UK
U00410,2025-04-11,Paid Social,UK
U00411,2025-09-21,Paid Social,France
U00412,2025-02-22,Paid Search,France
U00413,2025-03-01,Affiliate,France
U00414,2025-04-18,Partnerships,UK
U00415,2025-01-05,Paid Search,Spain
U00416,2025-04-13,Paid Social,UK
U00417,2025-07-15,Organic,France
U00418,2025-09-19,Paid Social,UK
U00419,2025-12-31,Paid Search,France
U00420,2025-12-16,Partnerships,France
U00421,2025-02-16,Paid Search,Germany
U00422,2025-12-21,Organic,Spain
U00423,2025-11-07,Paid Search,France
U00424,2025-11-04,Partnerships,Germany
U00425,2025-05-24,Paid Social,Spain
U00426,2025-09-26,Organic,France
U00427,2025-05-04,Paid Search,Spain
U00428,2025-04-16,Partnerships,Spain
U00429,2025-06-07,Affiliate,UK
U00430,2025-05-27,Paid Social,Germany
U00431,2025-05-25,Paid Social,Spain
U00432,2025-04-30,Partnerships,UK
U00433,2025-11-15,Organic,Spain
U00434,2025-10-02,Paid Search,UK
U00435,2025-04-02,Paid Search,France
U00436,2025-02-27,Organic,France
U00437,2025-12-12,Paid Search,UK
U00438,2025-08-17,Organic,France
U00439,2025-04-27,Affiliate,France
U00440,2025-11-14,Partnerships,France
U00441,2025-10-06,Paid Search,Spain
U00442,2025-05-07,Paid Search,UK
U00443,2025-05-09,Partnerships,Germany
U00444,2025-02-27,Organic,Germany
U00445,2025-05-02,Organic,UK
U00446,2025-01-01,Paid Search,Spain
U00447,2025-08-27,Paid Search,France
U00448,2025-10-17,Paid Search,France
U00449,2025-04-06,Organic,Spain
U00450,2025-05-06,Paid Social,Germany
U00451,2025-04-28,Paid Search,UK
U00452,2025-02-17,Paid Search,UK
U00453,2025-03-30,Paid Social,Spain
U00454,2025-08-25,Organic,France
U00455,2025-09-29,Affiliate,France
U00456,2025-07-08,Paid Search,France
U00457,2025-07-11,Paid Social,UK
U00458,2025-03-10,Paid Social,Germany
U00459,2025-10-05,Paid Search,UK
U00460,2025-12-15,Paid Search,Spain
U00461,2025-09-04,Partnerships,UK
U00462,2025-03-17,Paid Search,Spain
U00463,2025-06-03,Paid Search,UK
U00464,2025-05-24,Paid Social,Germany
U00465,2025-03-27,Organic,Spain
U00466,2025-07-04,Affiliate,France
U00467,2025-10-12,Partnerships,France
U00468,2025-08-08,Affiliate,UK
U00469,2025-03-10,Partnerships,UK
U00470,2025-02-16,Paid Search,Germany
U00471,2025-04-04,Organic,Germany
U00472,2025-08-26,Paid Search,France
U00473,2025-07-23,Paid Social,UK
U00474,2025-08-06,Organic,Spain
U00475,2025-12-07,Paid Social,Germany
U00476,2025-02-08,Organic,Spain
U00477,2025-04-10,Paid Social,Spain
U00478,2025-10-16,Organic,Germany
U00479,2025-09-11,Organic,UK
U00480,2025-08-10,Organic,Spain
U00481,2025-12-23,Organic,UK
U00482,2025-01-23,Organic,Spain
U00483,2025-09-07,Partnerships,UK
U00484,2025-01-10,Paid Social,UK
U00485,2025-09-03,Paid Search,UK
U00486,2025-11-21,Partnerships,UK
U00487,2025-04-10,Organic,Germany
U00488,2025-10-17,Partnerships,Spain
U00489,2025-06-29,Organic,UK
U00490,2025-08-11,Organic,France
U00491,2025-09-07,Paid Search,Spain
U00492,2025-05-27,Paid Search,Spain
U00493,2025-04-06,Paid Social,UK
U00494,2025-09-14,Paid Search,Spain
U00495,2025-11-21,Affiliate,France
U00496,2025-01-04,Organic,France
U00497,2025-01-16,Organic,France
U00498,2025-10-07,Paid Social,Spain
U00499,2025-12-02,Paid Search,Spain
U00500,2025-09-04,Paid Social,UK
U00501,2025-09-15,Affiliate,Spain
U00502,2025-06-09,Paid Social,Spain
U00503,2025-12-06,Paid Search,UK
U00504,2025-06-01,Paid Social,France
U00505,2025-06-27,Paid Social,UK
U00506,2025-06-12,Organic,Germany
U00507,2025-02-02,Paid Search,Spain
U00508,2025-06-28,Paid Search,Spain
U00509,2025-04-11,Paid Search,Germany
U00510,2025-09-25,Paid Social,Germany
U00511,2025-11-19,Partnerships,Germany
U00512,2025-03-06,Partnerships,UK
U00513,2025-06-17,Paid Social,France
U00514,2025-11-26,Partnerships,UK
U00515,2025-02-12,Paid Social,Germany
U00516,2025-02-13,Partnerships,UK
U00517,2025-10-12,Paid Search,Spain
U00518,2025-01-12,Paid Social,UK
U00519,2025-04-05,Organic,Germany
U00520,2025-10-29,Organic,Spain
U00521,2025-09-10,Partnerships,France
U00522,2025-08-30,Paid Search,UK
U00523,2025-02-04,Paid Search,UK
U00524,2025-08-03,Organic,Germany
U00525,2025-12-03,Paid Search,France
U00526,2025-03-31,Paid Search,Spain
U00527,2025-09-21,Paid Search,Germany
U00528,2025-04-03,Paid Social,Germany
U00529,2025-03-31,Paid Search,UK
U00530,2025-04-25,Paid Social,France
U00531,2025-04-15,Paid Social,Germany
U00532,2025-07-15,Organic,UK
U00533,2025-11-10,Paid Search,Spain
U00534,2025-04-24,Paid Social,Germany
U00535,2025-03-16,Affiliate,Spain
U00536,2025-08-05,Affiliate,Spain
U00537,2025-10-04,Paid Social,UK
U00538,2025-09-06,Organic,France
U00539,2025-06-13,Paid Search,Spain
U00540,2025-12-23,Organic,Germany
U00541,2025-07-11,Paid Social,France
U00542,2025-08-15,Paid Search,France
U00543,2025-06-26,Organic,UK
U00544,2025-04-09,Affiliate,Germany
U00545,2025-02-05,Paid Search,Germany
U00546,2025-04-06,Paid Search,UK
U00547,2025-06-01,Paid Search,UK
U00548,2025-05-31,Affiliate,France
U00549,2025-07-09,Paid Search,Spain
U00550,2025-08-12,Paid Search,Spain
U00551,2025-02-06,Paid Search,Spain
U00552,2025-09-25,Partnerships,Spain
U00553,2025-07-02,Organic,Germany
U00554,2025-01-13,Organic,Germany
U00555,2025-10-06,Paid Search,UK
U00556,2025-08-05,Organic,UK
U00557,2025-12-21,Partnerships,Spain
U00558,2025-12-27,Organic,UK
U00559,2025-10-13,Paid Social,Germany
U00560,2025-09-30,Paid Social,Spain
U00561,2025-03-03,Organic,Spain
U00562,2025-03-25,Paid Search,Germany
U00563,2025-08-05,Affiliate,France
U00564,2025-12-08,Organic,Spain
U00565,2025-07-06,Organic,UK
U00566,2025-01-19,Organic,France
U00567,2025-06-26,Partnerships,Germany
U00568,2025-04-10,Paid Search,France
U00569,2025-08-21,Paid Search,France
U00570,2025-03-17,Paid Social,Spain
U00571,2025-09-22,Affiliate,France
U00572,2025-10-11,Paid Search,UK
U00573,2025-07-25,Paid Search,Spain
U00574,2025-08-11,Affiliate,Germany
U00575,2025-02-21,Organic,UK
U00576,2025-12-05,Organic,Spain
U00577,2025-05-24,Organic,France
U00578,2025-03-10,Organic,UK
U00579,2025-04-09,Affiliate,Spain
U00580,2025-01-25,Organic,Spain
U00581,2025-02-22,Affiliate,Germany
U00582,2025-05-31,Organic,Spain
U00583,2025-05-24,Organic,Germany
U00584,2025-02-26,Organic,France
U00585,2025-02-08,Paid Social,Spain
U00586,2025-04-19,Paid Search,Spain
U00587,2025-06-30,Paid Search,France
U00588,2025-02-11,Paid Search,Spain
U00589,2025-07-05,Paid Search,Spain
U00590,2025-08-11,Paid Search,UK
U00591,2025-05-02,Paid Social,Germany
U00592,2025-05-13,Affiliate,Spain
U00593,2025-06-12,Partnerships,Spain
U00594,2025-08-03,Paid Search,Germany
U00595,2025-08-09,Partnerships,UK
U00596,2025-08-23,Partnerships,Germany
U00597,2025-11-27,Affiliate,Spain
U00598,2025-05-26,Organic,France
U00599,2025-08-27,Paid Search,France
U00600,2025-03-17,Paid Search,UK
U00601,2025-01-09,Paid Social,UK
U00602,2025-03-15,Paid Search,Spain
U00603,2025-09-10,Affiliate,UK
U00604,2025-08-18,Paid Social,Spain
U00605,2025-01-07,Paid Social,France
U00606,2025-06-23,Paid Search,UK
U00607,2025-05-21,Paid Social,Spain
U00608,2025-06-17,Affiliate,Germany
U00609,2025-06-19,Affiliate,UK
U00610,2025-10-10,Paid Search,Spain
U00611,2025-05-02,Paid Search,Spain
U00612,2025-07-13,Paid Search,Germany
U00613,2025-01-05,Paid Search,France
U00614,2025-01-29,Organic,Germany
U00615,2025-06-14,Paid Search,Spain
U00616,2025-12-05,Partnerships,Germany
U00617,2025-05-16,Organic,Germany
U00618,2025-12-31,Paid Search,Spain
U00619,2025-11-17,Paid Social,France
U00620,2025-12-08,Organic,Germany
U00621,2025-05-25,Organic,Germany
U00622,2025-11-23,Paid Social,UK
U00623,2025-08-05,Organic,UK
U00624,2025-10-28,Organic,Spain
U00625,2025-05-12,Paid Social,Spain
U00626,2025-10-19,Organic,Spain
U00627,2025-03-11,Paid Social,UK
U00628,2025-09-09,Affiliate,Spain
U00629,2025-10-02,Organic,Germany
U00630,2025-12-30,Organic,Germany
U00631,2025-07-01,Paid Social,France
U00632,2025-06-16,Paid Search,Spain
U00633,2025-04-01,Affiliate,Germany
U00634,2025-07-21,Partnerships,Germany
U00635,2025-12-12,Partnerships,France
U00636,2025-01-19,Organic,Germany
U00637,2025-02-08,Organic,France
U00638,2025-05-06,Paid Social,France
U00639,2025-06-22,Paid Search,UK
U00640,2025-05-21,Paid Social,Germany
U00641,2025-08-30,Partnerships,UK
U00642,2025-08-08,Affiliate,Germany
U00643,2025-05-06,Affiliate,UK
U00644,2025-02-27,Paid Social,France
U00645,2025-05-28,Paid Social,France
U00646,2025-11-13,Paid Social,France
U00647,2025-12-27,Affiliate,France
U00648,2025-01-01,Paid Search,Germany
U00649,2025-12-14,Paid Social,Spain
U00650,2025-07-09,Paid Social,Germany
U00651,2025-07-10,Affiliate,UK
U00652,2025-11-08,Paid Search,Germany
U00653,2025-04-27,Organic,Germany
U00654,2025-05-14,Affiliate,UK
U00655,2025-02-27,Partnerships,France
U00656,2025-02-13,Partnerships,UK
U00657,2025-06-22,Paid Social,UK
U00658,2025-06-09,Paid Social,Spain
U00659,2025-06-22,Organic,Spain
U00660,2025-11-13,Organic,France
U00661,2025-10-30,Organic,UK
U00662,2025-05-29,Partnerships,UK
U00663,2025-03-21,Paid Search,UK
U00664,2025-08-01,Paid Search,Germany
U00665,2025-07-22,Affiliate,Spain
U00666,2025-09-09,Paid Social,Spain
U00667,2025-08-17,Paid Social,France
U00668,2025-06-13,Organic,Spain
U00669,2025-08-15,Paid Social,Spain
U00670,2025-05-27,Paid Social,France
U00671,2025-01-20,Organic,UK
U00672,2025-02-16,Organic,Germany
U00673,2025-08-21,Paid Social,France
U00674,2025-11-01,Organic,Spain
U00675,2025-01-14,Organic,France
U00676,2025-05-23,Paid Social,Spain
U00677,2025-01-01,Paid Search,UK
U00678,2025-02-23,Paid Search,UK
U00679,2025-09-16,Affiliate,UK
U00680,2025-05-24,Paid Social,Spain
U00681,2025-01-12,Organic,France
U00682,2025-11-26,Organic,Spain
U00683,2025-08-12,Organic,UK
U00684,2025-09-29,Organic,UK
U00685,2025-12-24,Organic,UK
U00686,2025-06-05,Paid Social,Spain
U00687,2025-01-08,Paid Search,Germany
U00688,2025-05-02,Partnerships,UK
U00689,2025-12-14,Paid Social,France
U00690,2025-06-13,Paid Social,UK
U00691,2025-03-31,Affiliate,Spain
U00692,2025-05-16,Organic,France
U00693,2025-07-05,Paid Social,Spain
U00694,2025-11-12,Organic,Germany
U00695,2025-06-27,Paid Social,Germany
U00696,2025-01-28,Partnerships,Spain
U00697,2025-08-08,Paid Search,UK
U00698,2025-12-23,Organic,France
U00699,2025-02-10,Paid Search,UK
U00700,2025-08-16,Partnerships,Spain
U00701,2025-07-11,Paid Search,Spain
U00702,2025-05-25,Paid Social,UK
U00703,2025-07-20,Paid Social,France
U00704,2025-07-31,Paid Social,France
U00705,2025-08-08,Paid Search,France
U00706,2025-08-28,Paid Social,France
U00707,2025-02-15,Partnerships,France
