week,country,channel,roas,cost_per_conversion,avg_orders_per_user_5w,spend_share_pct,total_5w_revenue,total_spend,converted_users,total_orders_5w,roas_score,order_frequency_score,cpa_score,base_composite_score,adjusted_composite_score,channel_rank,recommendation
2025-01-06,France,Paid Social,0.0468,1327.56,0.2857,21.46,434.63,9292.95,7,2,0.7243,1.0,0.4843,0.7362,0.6963,2,Maintain / optimize
2025-01-06,France,Organic,0.0113,327.09,0.0588,12.84,62.91,5560.52,17,1,0.1752,0.2059,0.9918,0.4576,0.4133,3,Maintain / optimize
2025-01-06,France,Affiliate,0.0008,935.01,0.0667,32.39,11.29,14025.1,15,1,0.0125,0.2333,0.6834,0.3097,0.3097,4,Scale down / deprioritize
2025-01-06,France,Partnerships,0.0,2282.29,0.0,21.09,0.0,9129.15,4,0,0.0,0.0,0.0,0.0,0.0,5,Scale down / deprioritize
2025-01-06,Germany,Paid Search,0.0891,412.61,0.4667,13.99,551.33,6189.12,15,7,1.0,1.0,1.0,1.0,0.9,1,Scale up
2025-01-06,Germany,Affiliate,0.027,984.74,0.375,17.81,212.73,7877.93,8,3,0.3031,0.8036,0.6662,0.591,0.5396,2,Maintain / optimize
2025-01-06,Germany,Organic,0.012,2126.46,0.2222,43.26,229.82,19138.13,9,2,0.1348,0.4762,0.0,0.2037,0.2037,3,Scale down / deprioritize
2025-01-06,Germany,Paid Social,0.0,1103.36,0.0,24.94,0.0,11033.56,10,0,0.0,0.0,0.597,0.199,0.1865,4,Scale down / deprioritize
2025-01-06,Germany,Partnerships,,,0.4,,160.66,,5,2,,0.8571,,,,5,Scale down / deprioritize
2025-01-06,Spain,Partnerships,0.0935,372.13,0.2857,12.27,243.45,2604.88,7,2,1.0,1.0,0.8138,0.9379,0.8463,1,Scale up
2025-01-06,Spain,Paid Search,0.0,190.28,0.0,10.76,0.0,2283.41,12,0,0.0,0.0,1.0,0.3333,0.3,2,Scale down / deprioritize
2025-01-06,Spain,Paid Social,0.005,1167.03,0.0714,76.97,82.33,16338.39,14,1,0.0539,0.25,0.0,0.1013,0.1013,3,Scale down / deprioritize
2025-01-06,Spain,Affiliate,,,0.2,,193.57,,10,2,,0.7,,,,4,Scale down / deprioritize
2025-01-06,Spain,Organic,,,0.0,,0.0,,19,0,,0.0,,,,4,Scale down / deprioritize
2025-01-06,UK,Organic,0.0853,368.1,0.4667,9.88,470.83,5521.51,15,7,1.0,1.0,1.0,1.0,0.9,1,Scale up
2025-01-06,UK,Paid Social,0.0,785.59,0.0,22.49,0.0,12569.36,16,0,0.0,0.0,0.8247,0.2749,0.2651,2,Scale down / deprioritize
2025-01-06,UK,Paid Search,0.0,866.34,0.0,17.05,0.0,9529.73,11,0,0.0,0.0,0.7908,0.2636,0.2469,3,Scale down / deprioritize
2025-01-06,UK,Affiliate,0.0,1307.85,0.0,21.06,0.0,11770.64,9,0,0.0,0.0,0.6054,0.2018,0.1931,4,Scale down / deprioritize
2025-01-06,UK,Partnerships,0.0023,2749.84,0.1667,29.52,38.16,16499.06,6,1,0.0271,0.3571,0.0,0.1281,0.1281,5,Scale down / deprioritize
2025-01-13,France,Affiliate,0.0419,561.29,0.375,9.28,188.22,4490.32,8,3,1.0,1.0,1.0,1.0,0.9033,1,Scale up
2025-01-13,France,Partnerships,0.0324,796.9,0.2,8.24,129.2,3984.51,5,1,0.7736,0.5333,0.6794,0.6621,0.5959,2,Maintain / optimize
2025-01-13,France,Organic,0.0095,1080.32,0.1667,40.2,183.94,19445.82,18,3,0.2257,0.4444,0.2938,0.3213,0.3213,3,Scale down / deprioritize
2025-01-13,France,Paid Search,0.0,1055.94,0.0,26.2,0.0,12671.3,12,0,0.0,0.0,0.327,0.109,0.1042,4,Scale down / deprioritize
2025-01-13,France,Paid Social,0.0,1296.29,0.0,16.08,0.0,7777.74,6,0,0.0,0.0,0.0,0.0,0.0,5,Scale down / deprioritize
2025-01-13,Germany,Partnerships,0.1829,266.93,0.4286,3.89,341.73,1868.54,7,3,1.0,1.0,1.0,1.0,0.9,1,Scale up
2025-01-13,Germany,Organic,0.0228,586.06,0.2105,23.19,254.26,11135.18,19,4,0.1249,0.4912,0.7888,0.4683,0.4478,2,Maintain / optimize
2025-01-13,Germany,Paid Search,0.0072,1410.83,0.1538,38.2,131.36,18340.76,13,2,0.0392,0.359,0.2428,0.2136,0.2136,3,Scale down / deprioritize
2025-01-13,Germany,Paid Social,0.0,955.66,0.0,19.9,0.0,9556.6,10,0,0.0,0.0,0.5441,0.1814,0.1717,4,Scale down / deprioritize
2025-01-13,Germany,Affiliate,0.0,1777.65,0.0,14.81,0.0,7110.59,4,0,0.0,0.0,0.0,0.0,0.0,5,Scale down / deprioritize
2025-01-13,Spain,Paid Social,0.1334,141.92,0.25,6.69,378.72,2838.39,20,5,1.0,1.0,1.0,1.0,0.9,1,Scale up
2025-01-13,Spain,Affiliate,0.0063,2478.93,0.2,29.2,77.85,12394.65,5,1,0.0471,0.8,0.0,0.2824,0.2701,2,Scale down / deprioritize
2025-01-13,Spain,Organic,0.0063,2187.49,0.1111,46.38,123.4,19687.38,9,1,0.047,0.4444,0.1247,0.2054,0.2054,3,Scale down / deprioritize
2025-01-13,Spain,Partnerships,0.0,1881.21,0.0,17.73,0.0,7524.83,4,0,0.0,0.0,0.2558,0.0853,0.0791,4,Scale down / deprioritize
2025-01-13,Spain,Paid Search,,,0.1333,,312.56,,15,2,,0.5333,,,,5,Scale down / deprioritize
2025-01-13,UK,Organic,0.0347,1030.23,0.3333,24.37,536.92,15453.46,15,5,1.0,1.0,0.7465,0.9155,0.9155,1,Scale up
2025-01-13,UK,Paid Social,0.0269,1641.63,0.3333,23.3,398.03,14774.7,9,3,0.6888,1.0,0.0,0.5629,0.5551,2,Maintain / optimize
2025-01-13,UK,Affiliate,0.0149,822.59,0.0714,18.16,171.63,11516.25,14,1,0.2089,0.0,1.0,0.403,0.3704,3,Scale down / deprioritize
2025-01-13,UK,Paid Search,0.0097,882.43,0.0833,16.7,102.32,10589.14,12,1,0.0,0.0455,0.9269,0.3241,0.2917,4,Scale down / deprioritize
2025-01-13,UK,Partnerships,0.0137,1385.6,0.125,17.48,151.55,11084.8,8,1,0.1598,0.2045,0.3126,0.2257,0.2054,5,Scale down / deprioritize
2025-01-20,France,Affiliate,0.0363,756.72,0.2,21.63,274.58,7567.18,10,2,1.0,0.2667,0.9001,0.7223,0.6717,1,Maintain / optimize
2025-01-20,France,Paid Search,0.0264,483.68,0.1818,15.21,140.37,5320.53,11,2,0.7271,0.2424,0.9589,0.6428,0.5895,2,Maintain / optimize
2025-01-20,France,Partnerships,0.0103,4940.67,0.75,56.48,203.81,19762.67,4,3,0.2842,1.0,0.0,0.4281,0.4281,3,Maintain / optimize
2025-01-20,France,Paid Social,0.0,292.56,0.0,6.69,0.0,2340.51,8,0,0.0,0.0,1.0,0.3333,0.3,4,Scale down / deprioritize
2025-01-20,France,Organic,,,0.0667,,78.08,,15,1,,0.0889,,,,5,Scale down / deprioritize
2025-01-20,Germany,Affiliate,0.0137,2946.34,0.5,33.99,242.18,17678.04,6,3,1.0,0.7317,0.0,0.5772,0.5756,1,Maintain / optimize
2025-01-20,Germany,Paid Social,0.0064,1106.84,0.0625,34.05,114.22,17709.51,16,1,0.2159,0.0274,0.8397,0.361,0.361,2,Scale down / deprioritize
2025-01-20,Germany,Paid Search,0.0045,755.71,0.0455,31.96,74.04,16625.66,22,1,0.0,0.0,1.0,0.3333,0.3,3,Scale down / deprioritize
2025-01-20,Germany,Organic,,,0.1,,197.88,,10,1,,0.0878,,,,4,Scale down / deprioritize
2025-01-20,Germany,Partnerships,,,0.6667,,107.61,,3,2,,1.0,,,,4,Scale down / deprioritize
2025-01-20,Spain,Partnerships,0.0189,1356.97,0.2857,27.49,179.52,9498.82,7,2,0.5177,0.7685,0.9047,0.7303,0.6783,1,Maintain / optimize
2025-01-20,Spain,Affiliate,0.0301,1796.67,0.3333,15.6,162.14,5390.0,3,1,1.0,0.9325,0.0,0.6442,0.5797,2,Maintain / optimize
2025-01-20,Spain,Paid Social,0.0069,1310.67,0.1333,56.91,135.6,19660.09,15,2,0.0,0.2439,1.0,0.4146,0.4146,3,Maintain / optimize
2025-01-20,Spain,Organic,,,0.0625,,126.0,,16,1,,0.0,,,,4,Scale down / deprioritize
2025-01-20,Spain,Paid Search,,,0.3529,,498.2,,17,6,,1.0,,,,4,Scale down / deprioritize
2025-01-20,UK,Paid Social,0.1835,101.08,0.2778,4.71,333.81,1819.39,18,5,1.0,0.3182,1.0,0.7727,0.6955,1,Maintain / optimize
2025-01-20,UK,Organic,0.0742,634.2,0.3333,19.69,564.56,7610.44,12,4,0.3689,0.5455,0.7954,0.5699,0.5411,2,Maintain / optimize
2025-01-20,UK,Paid Search,0.021,1347.29,0.4444,31.37,254.86,12125.59,9,4,0.0619,1.0,0.5217,0.5279,0.5215,3,Maintain / optimize
2025-01-20,UK,Partnerships,0.0945,446.08,0.25,9.23,337.2,3568.64,8,2,0.4862,0.2045,0.8676,0.5194,0.4752,4,Maintain / optimize
2025-01-20,UK,Affiliate,0.0103,2706.55,0.2,35.01,139.38,13532.76,5,1,0.0,0.0,0.0,0.0,0.0,5,Scale down / deprioritize
2025-01-27,France,Paid Social,0.0239,1238.3,0.4286,21.87,206.77,8668.1,7,3,1.0,1.0,0.8373,0.9458,0.8807,1,Scale up
2025-01-27,France,Partnerships,0.0085,1310.93,0.2,16.54,55.66,6554.63,5,1,0.356,0.4667,0.8184,0.547,0.4923,2,Maintain / optimize
2025-01-27,France,Paid Search,0.0,614.93,0.0,27.93,0.0,11068.67,18,0,0.0,0.0,1.0,0.3333,0.3222,3,Scale down / deprioritize
2025-01-27,France,Affiliate,0.0,4447.49,0.0,33.66,0.0,13342.48,3,0,0.0,0.0,0.0,0.0,0.0,4,Scale down / deprioritize
2025-01-27,France,Organic,,,0.1818,,108.21,,11,2,,0.4242,,,,5,Scale down / deprioritize
2025-01-27,Germany,Paid Social,0.033,695.47,0.3636,18.59,252.83,7650.18,11,4,1.0,1.0,0.9239,0.9746,0.8835,1,Scale up
2025-01-27,Germany,Organic,0.0066,446.71,0.0556,19.53,53.27,8040.73,18,1,0.2005,0.1528,1.0,0.4511,0.4104,2,Maintain / optimize
2025-01-27,Germany,Affiliate,0.0025,3716.84,0.2,45.15,45.81,18584.22,5,1,0.0746,0.55,0.0,0.2082,0.2082,3,Scale down / deprioritize
2025-01-27,Germany,Partnerships,0.0,3443.36,0.0,16.73,0.0,6886.73,2,0,0.0,0.0,0.0836,0.0279,0.0251,4,Scale down / deprioritize
2025-01-27,Germany,Paid Search,,,0.3333,,213.16,,9,3,,0.9167,,,,5,Scale down / deprioritize
2025-01-27,Spain,Organic,0.0145,415.29,0.1111,10.48,54.07,3737.64,9,1,1.0,0.5556,1.0,0.8519,0.7667,1,Scale up
2025-01-27,Spain,Paid Social,0.0115,1104.47,0.2,46.44,191.22,16567.12,15,3,0.7979,1.0,0.2035,0.6671,0.6671,2,Maintain / optimize
2025-01-27,Spain,Paid Search,0.0,1280.59,0.0,43.08,0.0,15367.13,12,0,0.0,0.0,0.0,0.0,0.0,3,Scale down / deprioritize
2025-01-27,Spain,Affiliate,,,0.0,,0.0,,9,0,,0.0,,,,4,Scale down / deprioritize
2025-01-27,Spain,Partnerships,,,0.2,,127.6,,5,1,,1.0,,,,4,Scale down / deprioritize
2025-01-27,UK,Affiliate,0.1345,91.47,0.2,4.74,123.03,914.7,10,2,1.0,0.0,1.0,0.6667,0.6,1,Maintain / optimize
2025-01-27,UK,Paid Search,0.0688,699.17,0.375,28.95,384.67,5593.33,8,3,0.4437,0.1544,0.8546,0.4842,0.4548,2,Maintain / optimize
2025-01-27,UK,Organic,0.0164,4269.93,1.3333,66.31,209.51,12809.78,3,4,0.0,1.0,0.0,0.3333,0.3333,3,Scale down / deprioritize
2025-01-27,UK,Paid Social,,,0.3125,,459.67,,16,5,,0.0993,,,,4,Scale down / deprioritize
2025-01-27,UK,Partnerships,,,0.4,,199.7,,5,2,,0.1765,,,,4,Scale down / deprioritize
2025-02-03,France,Organic,0.0621,854.54,0.3846,28.34,690.39,11109.07,13,5,1.0,0.7179,0.7061,0.808,0.808,1,Scale up
2025-02-03,France,Paid Social,0.0488,555.77,0.2,21.27,406.53,8336.55,15,3,0.7696,0.2667,0.8255,0.6206,0.603,2,Maintain / optimize
2025-02-03,France,Affiliate,0.0477,119.23,0.0909,3.35,62.59,1311.51,11,1,0.7516,0.0,1.0,0.5839,0.5255,3,Maintain / optimize
2025-02-03,France,Partnerships,0.0225,2621.3,0.5,26.75,235.44,10485.18,4,2,0.3165,1.0,0.0,0.4388,0.436,4,Maintain / optimize
2025-02-03,France,Paid Search,0.0041,723.32,0.0909,20.3,32.43,7956.54,11,1,0.0,0.0,0.7586,0.2529,0.2447,5,Scale down / deprioritize
2025-02-03,Germany,Paid Social,0.0594,1233.28,0.5833,22.7,878.61,14799.37,12,7,1.0,1.0,0.6483,0.8828,0.8408,1,Scale up
2025-02-03,Germany,Organic,0.0586,732.15,0.3571,15.72,600.81,10250.14,14,5,0.9845,0.4571,1.0,0.8139,0.7371,2,Maintain / optimize
2025-02-03,Germany,Affiliate,0.0325,969.78,0.2,14.88,314.98,9697.83,10,2,0.4483,0.08,0.8332,0.4538,0.4085,3,Maintain / optimize
2025-02-03,Germany,Partnerships,0.0196,1838.69,0.1667,16.92,216.58,11032.11,6,1,0.1847,0.0,0.2234,0.136,0.1243,4,Scale down / deprioritize
2025-02-03,Germany,Paid Search,0.0106,2156.97,0.2222,29.78,206.32,19412.77,9,2,0.0,0.1333,0.0,0.0444,0.0444,5,Scale down / deprioritize
2025-02-03,Spain,Partnerships,0.0061,1099.62,0.2,25.23,66.62,10996.23,10,2,0.8011,1.0,0.3227,0.7079,0.6851,1,Maintain / optimize
2025-02-03,Spain,Affiliate,0.0076,1138.96,0.0909,28.74,94.75,12528.61,11,1,1.0,0.4545,0.2964,0.5837,0.5708,2,Maintain / optimize
2025-02-03,Spain,Paid Social,0.0073,1582.41,0.1,36.3,115.88,15824.1,10,1,0.9683,0.5,0.0,0.4894,0.4894,3,Maintain / optimize
2025-02-03,Spain,Paid Search,0.0,86.55,0.0,1.99,0.0,865.49,10,0,0.0,0.0,1.0,0.3333,0.3,4,Scale down / deprioritize
2025-02-03,Spain,Organic,0.0,240.99,0.0,7.74,0.0,3373.88,14,0,0.0,0.0,0.8968,0.2989,0.274,5,Scale down / deprioritize
2025-02-03,UK,Paid Search,0.0229,1599.09,0.375,16.95,292.73,12792.69,8,3,0.8675,1.0,0.9556,0.941,0.8469,1,Scale up
2025-02-03,UK,Organic,0.0264,1163.28,0.1538,20.04,398.9,15122.62,13,2,1.0,0.4103,0.9848,0.7983,0.7508,2,Scale up
2025-02-03,UK,Affiliate,0.0075,3709.9,0.2,24.58,139.76,18549.51,5,1,0.2856,0.5333,0.8145,0.5445,0.5445,3,Maintain / optimize
2025-02-03,UK,Paid Social,0.0035,935.34,0.1429,17.35,45.99,13094.8,14,2,0.1331,0.381,1.0,0.5047,0.4569,4,Maintain / optimize
2025-02-03,UK,Partnerships,0.0,15895.6,0.0,21.07,0.0,15895.6,1,0,0.0,0.0,0.0,0.0,0.0,5,Scale down / deprioritize
2025-02-10,France,Paid Search,0.0982,315.78,0.4118,12.87,527.0,5368.28,17,7,1.0,1.0,1.0,1.0,0.9006,1,Scale up
2025-02-10,France,Organic,0.0476,604.01,0.1818,15.93,316.26,6644.09,11,2,0.4849,0.4416,0.7146,0.547,0.4993,2,Maintain / optimize
2025-02-10,France,Affiliate,0.0156,775.31,0.0909,20.44,132.64,8528.37,11,1,0.1584,0.2208,0.545,0.3081,0.2867,3,Scale down / deprioritize
2025-02-10,France,Paid Social,0.0117,1322.5,0.1667,38.05,185.42,15870.05,12,2,0.119,0.4048,0.0032,0.1757,0.1757,4,Scale down / deprioritize
2025-02-10,France,Partnerships,0.0,1325.77,0.0,12.71,0.0,5303.07,4,0,0.0,0.0,0.0,0.0,0.0,5,Scale down / deprioritize
2025-02-10,Germany,Partnerships,,,1.0,,309.62,,2,2,1.0,1.0,1.0,1.0,1.0,1,Scale up
2025-02-10,Germany,Affiliate,0.022,1582.33,0.2,100.0,173.9,7911.67,5,1,1.0,0.0476,1.0,0.6825,0.6825,2,Maintain / optimize
2025-02-10,Germany,Organic,,,0.2,,328.9,,20,4,1.0,0.0476,1.0,0.6825,0.6825,2,Maintain / optimize
2025-02-10,Germany,Paid Social,,,0.1875,,373.66,,16,3,1.0,0.0327,1.0,0.6776,0.6776,3,Maintain / optimize
2025-02-10,Germany,Paid Search,,,0.16,,373.12,,25,4,1.0,0.0,1.0,0.6667,0.6667,4,Maintain / optimize
2025-02-10,Spain,Paid Social,0.1407,166.29,0.2727,4.49,257.38,1829.14,11,3,1.0,1.0,1.0,1.0,0.9,1,Scale up
2025-02-10,Spain,Organic,0.0295,988.72,0.2,36.44,436.92,14830.86,15,3,0.2094,0.7333,0.8485,0.5971,0.5971,2,Maintain / optimize
2025-02-10,Spain,Paid Search,0.0126,988.67,0.0769,31.58,161.74,12852.73,13,1,0.0894,0.2821,0.8485,0.4066,0.4005,3,Maintain / optimize
2025-02-10,Spain,Partnerships,0.0,5593.33,0.0,27.49,0.0,11186.66,2,0,0.0,0.0,0.0,0.0,0.0,4,Scale down / deprioritize
2025-02-10,Spain,Affiliate,,,0.25,,74.03,,8,2,,0.9167,,,,5,Scale down / deprioritize
2025-02-10,UK,Paid Social,0.0164,2775.1,0.5,26.51,272.96,16650.6,6,3,1.0,1.0,0.0,0.6667,0.6527,1,Maintain / optimize
2025-02-10,UK,Paid Search,0.0112,531.48,0.15,16.92,119.25,10629.51,20,3,0.4481,0.3,1.0,0.5827,0.5244,2,Maintain / optimize
2025-02-10,UK,Organic,0.007,1216.76,0.1333,29.06,128.07,18251.46,15,2,0.0,0.2667,0.6946,0.3204,0.3204,3,Scale down / deprioritize
2025-02-10,UK,Affiliate,0.0122,2468.51,0.1429,27.51,210.41,17279.54,7,1,0.5503,0.2857,0.1367,0.3242,0.3201,4,Scale down / deprioritize
2025-02-10,UK,Partnerships,,,0.0,,0.0,,7,0,,0.0,,,,5,Scale down / deprioritize
2025-02-17,France,Organic,0.0317,657.02,0.125,14.66,166.72,5256.14,8,1,1.0,0.1801,1.0,0.7267,0.6603,1,Maintain / optimize
2025-02-17,France,Affiliate,0.0095,746.04,0.3333,12.48,42.51,4476.26,6,2,0.1586,0.6984,0.9524,0.6031,0.5428,2,Maintain / optimize
2025-02-17,France,Paid Search,0.0123,709.84,0.0526,37.62,166.29,13487.03,19,1,0.2659,0.0,0.9717,0.4125,0.4125,3,Maintain / optimize
2025-02-17,France,Partnerships,0.0053,2526.92,0.2,35.24,67.05,12634.62,5,1,0.0,0.3667,0.0,0.1222,0.1211,4,Scale down / deprioritize
2025-02-17,France,Paid Social,,,0.4545,,641.21,,11,5,,1.0,,,,5,Scale down / deprioritize
2025-02-17,Germany,Partnerships,0.1097,690.15,0.5556,9.81,681.29,6211.34,9,5,1.0,1.0,0.6794,0.8931,0.8221,1,Scale up
2025-02-17,Germany,Paid Social,0.0385,189.65,0.0667,4.49,109.62,2844.81,15,1,0.3513,0.12,1.0,0.4904,0.4414,2,Maintain / optimize
2025-02-17,Germany,Organic,0.003,1476.78,0.1667,27.98,52.46,17721.34,12,2,0.027,0.3,0.1756,0.1675,0.1659,3,Scale down / deprioritize
2025-02-17,Germany,Affiliate,0.0,1330.79,0.0,27.31,0.0,17300.29,13,0,0.0,0.0,0.2691,0.0897,0.0886,4,Scale down / deprioritize
2025-02-17,Germany,Paid Search,0.0037,1750.87,0.0909,30.41,71.95,19259.61,11,1,0.0341,0.1636,0.0,0.0659,0.0659,5,Scale down / deprioritize
2025-02-17,Spain,Paid Social,0.0047,1433.39,0.0909,43.4,73.89,15767.31,11,1,1.0,0.4848,1.0,0.8283,0.8283,1,Scale up
2025-02-17,Spain,Affiliate,0.0,2166.12,0.0,23.85,0.0,8664.47,4,0,0.0,0.0,0.7107,0.2369,0.2132,2,Scale down / deprioritize
2025-02-17,Spain,Partnerships,0.0,3965.73,0.0,32.75,0.0,11897.18,3,0,0.0,0.0,0.0,0.0,0.0,3,Scale down / deprioritize
2025-02-17,Spain,Organic,,,0.1875,,411.17,,16,3,,1.0,,,,4,Scale down / deprioritize
2025-02-17,Spain,Paid Search,,,0.0,,0.0,,9,0,,0.0,,,,4,Scale down / deprioritize
2025-02-17,UK,Partnerships,0.0406,431.92,0.125,7.78,140.25,3455.34,8,1,1.0,0.2188,0.9036,0.7074,0.6426,1,Maintain / optimize
2025-02-17,UK,Paid Search,0.0282,133.89,0.0667,4.52,56.65,2008.34,15,1,0.5908,0.0,1.0,0.5303,0.4772,2,Maintain / optimize
2025-02-17,UK,Affiliate,0.0203,869.43,0.1667,23.5,211.52,10433.11,12,2,0.3286,0.375,0.762,0.4886,0.4634,3,Maintain / optimize
2025-02-17,UK,Organic,0.0144,435.42,0.0952,20.6,132.11,9143.79,21,2,0.1361,0.1071,0.9025,0.3819,0.3594,4,Scale down / deprioritize
2025-02-17,UK,Paid Social,0.0103,3224.99,0.3333,43.59,199.9,19349.96,6,2,0.0,1.0,0.0,0.3333,0.3333,5,Scale down / deprioritize
2025-02-24,France,Affiliate,0.0335,659.21,0.0909,39.25,243.07,7251.29,11,1,1.0,0.5152,0.6869,0.734,0.7225,1,Maintain / optimize
2025-02-24,France,Paid Social,0.0,230.11,0.0,17.44,0.0,3221.51,14,0,0.0,0.0,1.0,0.3333,0.3,2,Scale down / deprioritize
2025-02-24,France,Partnerships,0.0,1600.62,0.0,43.32,0.0,8003.09,5,0,0.0,0.0,0.0,0.0,0.0,3,Scale down / deprioritize
2025-02-24,France,Organic,,,0.1333,,190.7,,15,2,,0.7556,,,,4,Scale down / deprioritize
2025-02-24,France,Paid Search,,,0.1765,,529.89,,17,3,,1.0,,,,4,Scale down / deprioritize
2025-02-24,Germany,Organic,0.0411,233.48,0.125,17.63,76.81,1867.85,8,1,1.0,0.375,0.8781,0.751,0.6851,1,Maintain / optimize
2025-02-24,Germany,Paid Search,0.0,88.58,0.0,10.03,0.0,1062.9,12,0,0.0,0.0,1.0,0.3333,0.3,2,Scale down / deprioritize
2025-02-24,Germany,Partnerships,0.0033,1277.4,0.1667,72.34,25.24,7664.42,6,1,0.0801,0.5,0.0,0.1934,0.1934,3,Scale down / deprioritize
2025-02-24,Germany,Affiliate,,,0.25,,89.32,,4,1,,0.75,,,,4,Scale down / deprioritize
2025-02-24,Germany,Paid Social,,,0.3333,,422.6,,12,4,,1.0,,,,4,Scale down / deprioritize
2025-02-24,Spain,Paid Search,0.1052,116.4,0.1333,5.36,183.64,1746.02,15,2,1.0,0.5333,1.0,0.8444,0.76,1,Scale up
2025-02-24,Spain,Affiliate,0.0166,464.51,0.1667,8.56,46.26,2787.07,6,1,0.1568,0.6667,0.6883,0.5039,0.4575,2,Maintain / optimize
2025-02-24,Spain,Organic,0.011,1233.05,0.25,45.43,163.16,14796.6,12,3,0.1038,1.0,0.0,0.3679,0.3679,3,Scale down / deprioritize
2025-02-24,Spain,Paid Social,0.0001,779.04,0.0588,40.66,1.61,13243.73,17,1,0.0,0.2353,0.4066,0.214,0.2114,4,Scale down / deprioritize
2025-02-24,Spain,Partnerships,,,0.0,,0.0,,6,0,,0.0,,,,5,Scale down / deprioritize
2025-02-24,UK,Paid Social,0.1182,174.71,0.3333,6.59,247.82,2096.57,12,4,1.0,1.0,1.0,1.0,0.9,1,Scale up
2025-02-24,UK,Organic,0.0134,1338.47,0.2,42.06,179.74,13384.75,10,2,0.1136,0.6,0.0,0.2379,0.2379,2,Scale down / deprioritize
2025-02-24,UK,Paid Search,0.0,875.82,0.0,38.53,0.0,12261.42,14,0,0.0,0.0,0.3976,0.1325,0.1312,3,Scale down / deprioritize
2025-02-24,UK,Partnerships,0.0,1020.36,0.0,12.82,0.0,4081.45,4,0,0.0,0.0,0.2733,0.0911,0.0836,4,Scale down / deprioritize
2025-02-24,UK,Affiliate,,,0.25,,344.22,,12,3,,0.75,,,,5,Scale down / deprioritize
2025-03-03,France,Paid Social,0.0469,1281.8,0.4615,43.3,782.08,16663.38,13,6,1.0,1.0,0.7408,0.9136,0.9121,1,Scale up
2025-03-03,France,Paid Search,0.0358,251.33,0.1,6.53,90.1,2513.27,10,1,0.7574,0.0,1.0,0.5858,0.5277,2,Maintain / optimize
2025-03-03,France,Organic,0.0263,266.22,0.1111,6.23,62.95,2395.99,9,1,0.5478,0.0307,0.9963,0.5249,0.4724,3,Maintain / optimize
2025-03-03,France,Partnerships,0.0012,4227.19,0.25,43.94,21.05,16908.76,4,1,0.0,0.4149,0.0,0.1383,0.1383,4,Scale down / deprioritize
2025-03-03,France,Affiliate,,,0.25,,256.57,,4,1,,0.4149,,,,5,Scale down / deprioritize
2025-03-03,Germany,Paid Search,0.0481,453.06,0.3333,15.87,326.82,6795.96,15,5,1.0,1.0,0.9232,0.9744,0.916,1,Scale up
2025-03-03,Germany,Paid Social,0.0403,459.37,0.1765,18.23,314.59,7809.35,17,3,0.8377,0.5294,0.9215,0.7629,0.7226,2,Maintain / optimize
