week,country,channel,converted_users,users_with_cpa,users_missing_cpa,profitable_users,non_profitable_users,pct_profitable_users,total_5week_profit,avg_5week_profit_per_user,total_5week_revenue,cohort_cpa_per_user,cohort_spend
2025-01-06,UK,Paid Search,11,11,0,0,11,0.0,-9529.7299999999959,-866.33909090909083,0.0,866.33909090909083,9529.73
2025-01-06,UK,Paid Social,16,16,0,0,16,0.0,-12569.359999999997,-785.585,0.0,785.585,12569.36
2025-01-06,UK,Partnerships,6,6,0,0,6,0.0,-16460.9,-2743.4833333333336,38.16,2749.8433333333337,16499.06
2025-01-13,France,Affiliate,8,8,0,0,8,0.0,-4302.1,-537.76249999999993,188.22,561.29,4490.32
2025-01-13,France,Organic,18,18,0,0,18,0.0,-19261.880000000005,-1070.1044444444444,183.94,1080.3233333333333,19445.82
2025-01-13,France,Paid Search,12,12,0,0,12,0.0,-12671.299999999996,-1055.9416666666666,0.0,1055.9416666666666,12671.3
2025-01-13,France,Paid Social,6,6,0,0,6,0.0,-7777.74,-1296.29,0.0,1296.29,7777.74
2025-01-13,France,Partnerships,5,5,0,0,5,0.0,-3855.3100000000004,-771.062,129.2,796.902,3984.51
2025-01-13,Germany,Affiliate,4,4,0,0,4,0.0,-7110.59,-1777.6475,0.0,1777.6475,7110.59
2025-01-13,Germany,Organic,19,19,0,0,19,0.0,-10880.919999999998,-572.68000000000006,254.26000000000002,586.062105263158,11135.18
2025-01-13,Germany,Paid Search,13,13,0,0,13,0.0,-18209.399999999994,-1400.7230769230766,131.36,1410.8276923076921,18340.76
2025-01-13,Germany,Paid Social,10,10,0,0,10,0.0,-9556.6,-955.66000000000008,0.0,955.66000000000008,9556.6
2025-01-13,Germany,Partnerships,7,7,0,0,7,0.0,-1526.81,-218.11571428571426,341.73,266.93428571428569,1868.54
2025-01-13,Spain,Affiliate,5,5,0,0,5,0.0,-12316.8,-2463.3599999999997,77.85,2478.93,12394.65
2025-01-13,Spain,Organic,9,9,0,0,9,0.0,-19563.980000000003,-2173.7755555555555,123.4,2187.4866666666667,19687.38
2025-01-13,Spain,Paid Search,15,0,15,0,0,,,,312.56,,
2025-01-13,Spain,Paid Social,20,20,0,0,20,0.0,-2459.67,-122.98349999999999,378.71999999999997,141.9195,2838.39
2025-01-13,Spain,Partnerships,4,4,0,0,4,0.0,-7524.83,-1881.2075,0.0,1881.2075,7524.83
2025-01-13,UK,Affiliate,14,14,0,0,14,0.0,-11344.619999999999,-810.32999999999993,171.63,822.58928571428567,11516.25
2025-01-13,UK,Organic,15,15,0,0,15,0.0,-14916.539999999995,-994.43599999999981,536.92000000000007,1030.2306666666666,15453.46
2025-01-13,UK,Paid Search,12,12,0,0,12,0.0,-10486.82,-873.90166666666664,102.32,882.42833333333328,10589.14
2025-01-13,UK,Paid Social,9,9,0,0,9,0.0,-14376.67,-1597.4077777777777,398.03000000000003,1641.6333333333334,14774.7
2025-01-13,UK,Partnerships,8,8,0,0,8,0.0,-10933.25,-1366.65625,151.55,1385.6,11084.8
2025-01-20,France,Affiliate,10,10,0,0,10,0.0,-7292.5999999999995,-729.2600000000001,274.58,756.71800000000007,7567.18
2025-01-20,France,Organic,15,0,15,0,0,,,,78.08,,
2025-01-20,France,Paid Search,11,11,0,0,11,0.0,-5180.16,-470.92363636363632,140.37,483.68454545454546,5320.53
2025-01-20,France,Paid Social,8,8,0,0,8,0.0,-2340.51,-292.56375,0.0,292.56375,2340.51
2025-01-20,France,Partnerships,4,4,0,0,4,0.0,-19558.859999999997,-4889.715,203.81,4940.6675,19762.67
2025-01-20,Germany,Affiliate,6,6,0,0,6,0.0,-17435.86,-2905.9766666666669,242.18,2946.34,17678.04
2025-01-20,Germany,Organic,10,0,10,0,0,,,,197.88,,
2025-01-20,Germany,Paid Search,22,22,0,0,22,0.0,-16551.620000000006,-752.34636363636378,74.04,755.71181818181822,16625.66
2025-01-20,Germany,Paid Social,16,16,0,0,16,0.0,-17595.29,-1099.705625,114.22,1106.844375,17709.51
2025-01-20,Germany,Partnerships,3,0,3,0,0,,,,107.61,,
2025-01-20,Spain,Affiliate,3,3,0,0,3,0.0,-5227.8600000000006,-1742.6200000000001,162.14,1796.6666666666667,5390.0
2025-01-20,Spain,Organic,16,0,16,0,0,,,,126.0,,
2025-01-20,Spain,Paid Search,17,0,17,0,0,,,,498.20000000000005,,
2025-01-20,Spain,Paid Social,15,15,0,0,15,0.0,-19524.489999999998,-1301.6326666666666,135.6,1310.6726666666666,19660.09
2025-01-20,Spain,Partnerships,7,7,0,0,7,0.0,-9319.3000000000011,-1331.3285714285714,179.52,1356.9742857142858,9498.82
2025-01-20,UK,Affiliate,5,5,0,0,5,0.0,-13393.38,-2678.6760000000004,139.38,2706.552,13532.76
2025-01-20,UK,Organic,12,12,0,0,12,0.0,-7045.8799999999983,-587.15666666666652,564.56000000000006,634.20333333333326,7610.44
2025-01-20,UK,Paid Search,9,9,0,0,9,0.0,-11870.73,-1318.97,254.86,1347.2877777777778,12125.59
2025-01-20,UK,Paid Social,18,18,0,2,16,0.1111111111111111,-1485.58,-82.532222222222231,333.81,101.07722222222223,1819.39
2025-01-20,UK,Partnerships,8,8,0,0,8,0.0,-3231.4399999999996,-403.92999999999995,337.2,446.08,3568.64
2025-01-27,France,Affiliate,3,3,0,0,3,0.0,-13342.48,-4447.4933333333329,0.0,4447.4933333333329,13342.48
2025-01-27,France,Organic,11,0,11,0,0,,,,108.21000000000001,,
2025-01-27,France,Paid Search,18,18,0,0,18,0.0,-11068.670000000002,-614.92611111111114,0.0,614.92611111111114,11068.67
2025-01-27,France,Paid Social,7,7,0,0,7,0.0,-8461.3299999999981,-1208.7614285714285,206.76999999999998,1238.3,8668.1
2025-01-27,France,Partnerships,5,5,0,0,5,0.0,-6498.9699999999993,-1299.7939999999999,55.66,1310.926,6554.63
2025-01-27,Germany,Affiliate,5,5,0,0,5,0.0,-18538.41,-3707.6820000000002,45.81,3716.844,18584.22
2025-01-27,Germany,Organic,18,18,0,0,18,0.0,-7987.46,-443.74777777777774,53.27,446.70722222222219,8040.73
2025-01-27,Germany,Paid Search,9,0,9,0,0,,,,213.16,,
2025-01-27,Germany,Paid Social,11,11,0,0,11,0.0,-7397.35,-672.48636363636376,252.83,695.47090909090912,7650.18
2025-01-27,Germany,Partnerships,2,2,0,0,2,0.0,-6886.73,-3443.365,0.0,3443.365,6886.73
2025-01-27,Spain,Affiliate,9,0,9,0,0,,,,0.0,,
2025-01-27,Spain,Organic,9,9,0,0,9,0.0,-3683.5699999999988,-409.2855555555555,54.07,415.29333333333329,3737.64
2025-01-27,Spain,Paid Search,12,12,0,0,12,0.0,-15367.129999999996,-1280.5941666666665,0.0,1280.5941666666665,15367.13
2025-01-27,Spain,Paid Social,15,15,0,0,15,0.0,-16375.9,-1091.7266666666662,191.22,1104.4746666666665,16567.12
2025-01-27,Spain,Partnerships,5,0,5,0,0,,,,127.6,,
2025-01-27,UK,Affiliate,10,10,0,1,9,0.1,-791.67000000000019,-79.167,123.03,91.47,914.7
2025-01-27,UK,Organic,3,3,0,0,3,0.0,-12600.27,-4200.09,209.51,4269.9266666666672,12809.78
2025-01-27,UK,Paid Search,8,8,0,0,8,0.0,-5208.66,-651.0825,384.66999999999996,699.16625,5593.33
2025-01-27,UK,Paid Social,16,0,16,0,0,,,,459.66999999999996,,
2025-01-27,UK,Partnerships,5,0,5,0,0,,,,199.7,,
2025-02-03,France,Affiliate,11,11,0,0,11,0.0,-1248.92,-113.53818181818183,62.59,119.22818181818182,1311.51
2025-02-03,France,Organic,13,13,0,0,13,0.0,-10418.68,-801.43692307692311,690.39,854.54384615384618,11109.07
2025-02-03,France,Paid Search,11,11,0,0,11,0.0,-7924.1100000000015,-720.37363636363636,32.43,723.32181818181823,7956.54
2025-02-03,France,Paid Social,15,15,0,0,15,0.0,-7930.0200000000023,-528.668,406.53,555.77,8336.55
2025-02-03,France,Partnerships,4,4,0,0,4,0.0,-10249.74,-2562.435,235.44,2621.295,10485.18
2025-02-03,Germany,Affiliate,10,10,0,0,10,0.0,-9382.85,-938.28500000000008,314.98,969.783,9697.83
2025-02-03,Germany,Organic,14,14,0,0,14,0.0,-9649.33,-689.23785714285725,600.81,732.1528571428571,10250.14
2025-02-03,Germany,Paid Search,9,9,0,0,9,0.0,-19206.449999999997,-2134.05,206.32,2156.9744444444445,19412.77
2025-02-03,Germany,Paid Social,12,12,0,0,12,0.0,-13920.760000000004,-1160.0633333333335,878.61,1233.2808333333335,14799.37
2025-02-03,Germany,Partnerships,6,6,0,0,6,0.0,-10815.53,-1802.5883333333336,216.58,1838.6850000000002,11032.11
2025-02-03,Spain,Affiliate,11,11,0,0,11,0.0,-12433.860000000002,-1130.350909090909,94.75,1138.9645454545455,12528.61
2025-02-03,Spain,Organic,14,14,0,0,14,0.0,-3373.8799999999997,-240.99142857142857,0.0,240.99142857142857,3373.88
2025-02-03,Spain,Paid Search,10,10,0,0,10,0.0,-865.4899999999999,-86.549,0.0,86.549,865.49
2025-02-03,Spain,Paid Social,10,10,0,0,10,0.0,-15708.22,-1570.8220000000003,115.88,1582.41,15824.1
2025-02-03,Spain,Partnerships,10,10,0,0,10,0.0,-10929.61,-1092.961,66.62,1099.623,10996.23
2025-02-03,UK,Affiliate,5,5,0,0,5,0.0,-18409.75,-3681.9499999999994,139.76,3709.9019999999996,18549.51
2025-02-03,UK,Organic,13,13,0,0,13,0.0,-14723.720000000005,-1132.5938461538465,398.9,1163.2784615384617,15122.62
2025-02-03,UK,Paid Search,8,8,0,0,8,0.0,-12499.960000000001,-1562.4950000000001,292.72999999999996,1599.08625,12792.69
2025-02-03,UK,Paid Social,14,14,0,0,14,0.0,-13048.810000000001,-932.057857142857,45.99,935.342857142857,13094.8
2025-02-03,UK,Partnerships,1,1,0,0,1,0.0,-15895.6,-15895.6,0.0,15895.6,15895.6
2025-02-10,France,Affiliate,11,11,0,0,11,0.0,-8395.7300000000014,-763.24818181818182,132.64,775.3063636363637,8528.37
2025-02-10,France,Organic,11,11,0,0,11,0.0,-6327.8299999999981,-575.25727272727272,316.26,604.00818181818181,6644.09
2025-02-10,France,Paid Search,17,17,0,0,17,0.0,-4841.2800000000007,-284.78117647058826,527.0,315.78117647058821,5368.28
2025-02-10,France,Paid Social,12,12,0,0,12,0.0,-15684.629999999994,-1307.0525,185.42000000000002,1322.5041666666666,15870.05
2025-02-10,France,Partnerships,4,4,0,0,4,0.0,-5303.07,-1325.7675,0.0,1325.7675,5303.07
2025-02-10,Germany,Affiliate,5,5,0,0,5,0.0,-7737.7699999999995,-1547.5539999999999,173.9,1582.334,7911.67
2025-02-10,Germany,Organic,20,0,20,0,0,,,,328.9,,
2025-02-10,Germany,Paid Search,25,0,25,0,0,,,,373.12,,
2025-02-10,Germany,Paid Social,16,0,16,0,0,,,,373.66,,
2025-02-10,Germany,Partnerships,2,0,2,0,0,,,,309.62,,
2025-02-10,Spain,Affiliate,8,0,8,0,0,,,,74.03,,
2025-02-10,Spain,Organic,15,15,0,0,15,0.0,-14393.939999999999,-959.59600000000012,436.91999999999996,988.724,14830.86
2025-02-10,Spain,Paid Search,13,13,0,0,13,0.0,-12690.989999999998,-976.23,161.74,988.67153846153838,12852.73
2025-02-10,Spain,Paid Social,11,11,0,1,10,0.090909090909090912,-1571.7599999999998,-142.88727272727272,257.38,166.28545454545454,1829.14
2025-02-10,Spain,Partnerships,2,2,0,0,2,0.0,-11186.66,-5593.33,0.0,5593.33,11186.66
2025-02-10,UK,Affiliate,7,7,0,0,7,0.0,-17069.13,-2438.4471428571433,210.41,2468.5057142857145,17279.54
2025-02-10,UK,Organic,15,15,0,0,15,0.0,-18123.389999999992,-1208.2259999999999,128.07,1216.764,18251.46
2025-02-10,UK,Paid Search,20,20,0,0,20,0.0,-10510.260000000004,-525.51300000000015,119.25,531.4755,10629.51
2025-02-10,UK,Paid Social,6,6,0,0,6,0.0,-16377.64,-2729.6066666666666,272.96000000000004,2775.1,16650.6
2025-02-10,UK,Partnerships,7,0,7,0,0,,,,0.0,,
2025-02-17,France,Affiliate,6,6,0,0,6,0.0,-4433.75,-738.95833333333348,42.51,746.04333333333341,4476.26
2025-02-17,France,Organic,8,8,0,0,8,0.0,-5089.42,-636.17750000000012,166.72,657.0175,5256.14
2025-02-17,France,Paid Search,19,19,0,0,19,0.0,-13320.739999999998,-701.09157894736848,166.29,709.84368421052636,13487.03
2025-02-17,France,Paid Social,11,0,11,0,0,,,,641.21,,
2025-02-17,France,Partnerships,5,5,0,0,5,0.0,-12567.57,-2513.514,67.05,2526.924,12634.62
2025-02-17,Germany,Affiliate,13,13,0,0,13,0.0,-17300.290000000005,-1330.7915384615385,0.0,1330.7915384615385,17300.29
2025-02-17,Germany,Organic,12,12,0,0,12,0.0,-17668.88,-1472.4066666666668,52.46,1476.7783333333334,17721.34
2025-02-17,Germany,Paid Search,11,11,0,0,11,0.0,-19187.660000000003,-1744.3327272727274,71.95,1750.8736363636365,19259.61
2025-02-17,Germany,Paid Social,15,15,0,0,15,0.0,-2735.19,-182.346,109.62,189.654,2844.81
2025-02-17,Germany,Partnerships,9,9,0,0,9,0.0,-5530.05,-614.45,681.29,690.14888888888891,6211.34
2025-02-17,Spain,Affiliate,4,4,0,0,4,0.0,-8664.47,-2166.1175,0.0,2166.1175,8664.47
2025-02-17,Spain,Organic,16,0,16,0,0,,,,411.17,,
2025-02-17,Spain,Paid Search,9,0,9,0,0,,,,0.0,,
2025-02-17,Spain,Paid Social,11,11,0,0,11,0.0,-15693.420000000002,-1426.6745454545453,73.89,1433.3918181818181,15767.31
2025-02-17,Spain,Partnerships,3,3,0,0,3,0.0,-11897.18,-3965.7266666666669,0.0,3965.7266666666669,11897.18
2025-02-17,UK,Affiliate,12,12,0,0,12,0.0,-10221.59,-851.79916666666668,211.51999999999998,869.42583333333334,10433.11
2025-02-17,UK,Organic,21,21,0,0,21,0.0,-9011.68,-429.12761904761908,132.10999999999999,435.41857142857145,9143.79
2025-02-17,UK,Paid Search,15,15,0,0,15,0.0,-1951.6899999999996,-130.11266666666666,56.65,133.88933333333333,2008.34
2025-02-17,UK,Paid Social,6,6,0,0,6,0.0,-19150.06,-3191.6766666666667,199.89999999999998,3224.9933333333333,19349.96
2025-02-17,UK,Partnerships,8,8,0,0,8,0.0,-3315.09,-414.38625,140.25,431.9175,3455.34
2025-02-24,France,Affiliate,11,11,0,0,11,0.0,-7008.2199999999993,-637.1109090909091,243.07,659.20818181818186,7251.29
2025-02-24,France,Organic,15,0,15,0,0,,,,190.7,,
2025-02-24,France,Paid Search,17,0,17,0,0,,,,529.89,,
2025-02-24,France,Paid Social,14,14,0,0,14,0.0,-3221.5099999999998,-230.10785714285717,0.0,230.10785714285717,3221.51
2025-02-24,France,Partnerships,5,5,0,0,5,0.0,-8003.09,-1600.618,0.0,1600.618,8003.09
2025-02-24,Germany,Affiliate,4,0,4,0,0,,,,89.32,,
2025-02-24,Germany,Organic,8,8,0,0,8,0.0,-1791.0400000000002,-223.88,76.81,233.48125,1867.85
2025-02-24,Germany,Paid Search,12,12,0,0,12,0.0,-1062.9000000000003,-88.575,0.0,88.575,1062.9
2025-02-24,Germany,Paid Social,12,0,12,0,0,,,,422.6,,
2025-02-24,Germany,Partnerships,6,6,0,0,6,0.0,-7639.18,-1273.1966666666667,25.24,1277.4033333333334,7664.42
2025-02-24,Spain,Affiliate,6,6,0,0,6,0.0,-2740.8100000000004,-456.80166666666673,46.26,464.51166666666671,2787.07
2025-02-24,Spain,Organic,12,12,0,0,12,0.0,-14633.439999999997,-1219.4533333333334,163.16,1233.05,14796.6
2025-02-24,Spain,Paid Search,15,15,0,1,14,0.066666666666666666,-1562.3799999999997,-104.15866666666665,183.64000000000001,116.40133333333333,1746.02
2025-02-24,Spain,Paid Social,17,17,0,0,17,0.0,-13242.12,-778.94823529411758,1.61,779.04294117647055,13243.73
2025-02-24,Spain,Partnerships,6,0,6,0,0,,,,0.0,,
2025-02-24,UK,Affiliate,12,0,12,0,0,,,,344.22,,
2025-02-24,UK,Organic,10,10,0,0,10,0.0,-13205.010000000002,-1320.501,179.74,1338.475,13384.75
2025-02-24,UK,Paid Search,14,14,0,0,14,0.0,-12261.42,-875.81571428571431,0.0,875.81571428571431,12261.42
2025-02-24,UK,Paid Social,12,12,0,0,12,0.0,-1848.75,-154.06249999999997,247.82,174.71416666666667,2096.57
2025-02-24,UK,Partnerships,4,4,0,0,4,0.0,-4081.45,-1020.3625,0.0,1020.3625,4081.45
2025-03-03,France,Affiliate,4,0,4,0,0,,,,256.57,,
2025-03-03,France,Organic,9,9,0,0,9,0.0,-2333.0399999999995,-259.22666666666669,62.95,266.2211111111111,2395.99
2025-03-03,France,Paid Search,10,10,0,0,10,0.0,-2423.17,-242.31699999999998,90.1,251.327,2513.27
2025-03-03,France,Paid Social,13,13,0,0,13,0.0,-15881.299999999997,-1221.6384615384618,782.08,1281.7984615384617,16663.38
2025-03-03,France,Partnerships,4,4,0,0,4,0.0,-16887.71,-4221.9275,21.05,4227.19,16908.76
2025-03-03,Germany,Affiliate,3,3,0,0,3,0.0,-11824.01,-3941.3366666666666,0.0,3941.3366666666666,11824.01
2025-03-03,Germany,Organic,13,13,0,0,13,0.0,-15092.439999999999,-1160.9569230769232,169.19,1173.9715384615383,15261.63
2025-03-03,Germany,Paid Search,15,15,0,0,15,0.0,-6469.1400000000012,-431.276,326.82,453.064,6795.96
2025-03-03,Germany,Paid Social,17,17,0,0,17,0.0,-7494.760000000002,-440.86823529411771,314.59000000000003,459.37352941176471,7809.35
2025-03-03,Germany,Partnerships,7,7,0,0,7,0.0,-1139.76,-162.82285714285715,0.0,162.82285714285715,1139.76
2025-03-03,Spain,Affiliate,7,7,0,0,7,0.0,-9025.36,-1289.3371428571429,0.0,1289.3371428571429,9025.36
2025-03-03,Spain,Organic,18,18,0,0,18,0.0,-8307.14,-461.50777777777773,911.2299999999999,512.13166666666666,9218.37
2025-03-03,Spain,Paid Search,11,11,0,0,11,0.0,-13756.9,-1250.6272727272726,74.08,1257.3618181818181,13830.98
2025-03-03,Spain,Paid Social,10,10,0,0,10,0.0,-17161.96,-1716.1960000000004,150.35,1731.2310000000002,17312.31
2025-03-03,Spain,Partnerships,2,2,0,0,2,0.0,-19350.89,-9675.445,0.0,9675.445,19350.89
2025-03-03,UK,Affiliate,7,7,0,0,7,0.0,-16963.190000000002,-2423.3128571428574,182.76,2449.4214285714288,17145.95
2025-03-03,UK,Organic,20,20,0,1,19,0.05,-1620.2600000000004,-81.013,699.97,116.0115,2320.23
2025-03-03,UK,Paid Search,11,11,0,0,11,0.0,-11184.650000000001,-1016.7863636363637,259.69,1040.3945454545456,11444.34
2025-03-03,UK,Paid Social,13,13,0,0,13,0.0,-7057.6699999999992,-542.89769230769241,393.69,573.18153846153848,7451.36
2025-03-03,UK,Partnerships,9,9,0,0,9,0.0,-13584.830000000002,-1509.4255555555555,41.53,1514.04,13626.36
2025-03-10,France,Affiliate,8,8,0,0,8,0.0,-2046.2999999999997,-255.78749999999997,64.82,263.89,2111.12
2025-03-10,France,Organic,13,13,0,0,13,0.0,-8330.26,-640.78923076923081,0.0,640.78923076923081,8330.26
2025-03-10,France,Paid Search,11,11,0,0,11,0.0,-16915.539999999997,-1537.7763636363636,71.8,1544.3036363636363,16987.34
2025-03-10,France,Paid Social,10,10,0,0,10,0.0,-3173.7600000000007,-317.37600000000003,0.0,317.37600000000003,3173.76
2025-03-10,France,Partnerships,7,7,0,0,7,0.0,-18369.44,-2624.2057142857143,0.0,2624.2057142857143,18369.44
2025-03-10,Germany,Affiliate,7,0,7,0,0,,,,111.46,,
2025-03-10,Germany,Organic,18,18,0,0,18,0.0,-16862.790000000005,-936.82166666666672,769.93999999999994,979.5961111111111,17632.73
2025-03-10,Germany,Paid Search,7,0,7,0,0,,,,42.64,,
2025-03-10,Germany,Paid Social,19,19,0,0,19,0.0,-9228.3300000000017,-485.70157894736838,949.27,535.66315789473686,10177.6
2025-03-10,Germany,Partnerships,5,5,0,0,5,0.0,-3468.7100000000009,-693.74200000000008,29.4,699.62200000000007,3498.11
2025-03-10,Spain,Affiliate,17,17,0,0,17,0.0,-3920.1600000000017,-230.59764705882353,338.23,250.49352941176471,4258.39
2025-03-10,Spain,Organic,13,13,0,0,13,0.0,-18378.38,-1413.7215384615383,371.62,1442.3076923076924,18750.0
2025-03-10,Spain,Paid Search,10,0,10,0,0,,,,229.66,,
2025-03-10,Spain,Paid Social,22,22,0,4,18,0.18181818181818182,-693.04999999999961,-31.502272727272722,693.58,63.028636363636366,1386.63
2025-03-10,Spain,Partnerships,2,2,0,0,2,0.0,-12782.94,-6391.47,0.0,6391.47,12782.94
2025-03-10,UK,Affiliate,3,3,0,0,3,0.0,-16240.170000000002,-5413.39,0.0,5413.39,16240.17
2025-03-10,UK,Organic,12,12,0,0,12,0.0,-2037.0800000000004,-169.75666666666669,249.33999999999997,190.535,2286.42
2025-03-10,UK,Paid Search,15,15,0,0,15,0.0,-15598.980000000005,-1039.9319999999998,125.34,1048.288,15724.32
2025-03-10,UK,Paid Social,18,18,0,0,18,0.0,-4767.17,-264.84277777777783,328.06,283.06833333333333,5095.23
2025-03-10,UK,Partnerships,3,3,0,0,3,0.0,-13589.34,-4529.78,0.0,4529.78,13589.34
2025-03-17,France,Affiliate,6,6,0,0,6,0.0,-8064.6999999999989,-1344.1166666666668,72.74,1356.24,8137.44
2025-03-17,France,Organic,8,8,0,0,8,0.0,-12704.18,-1588.0225,236.08,1617.5325,12940.26
2025-03-17,France,Paid Search,13,13,0,0,13,0.0,-17070.060000000005,-1313.0815384615385,200.29999999999998,1328.4892307692307,17270.36
2025-03-17,France,Paid Social,7,7,0,0,7,0.0,-3292.26,-470.32285714285717,0.0,470.32285714285717,3292.26
2025-03-17,France,Partnerships,7,7,0,0,7,0.0,-9719.4599999999973,-1388.4942857142855,0.0,1388.4942857142855,9719.46
2025-03-17,Germany,Affiliate,9,9,0,0,9,0.0,-11821.38,-1313.4866666666669,82.48,1322.6511111111113,11903.86
2025-03-17,Germany,Organic,7,7,0,0,7,0.0,-17519.76,-2502.8228571428567,0.0,2502.8228571428567,17519.76
2025-03-17,Germany,Paid Search,17,17,0,0,17,0.0,-14643.87,-861.4041176470588,396.09000000000003,884.70352941176463,15039.96
2025-03-17,Germany,Paid Social,15,15,0,0,15,0.0,-9662.69,-644.17933333333337,546.82,680.634,10209.51
2025-03-17,Germany,Partnerships,4,4,0,0,4,0.0,-10990.5,-2747.625,340.75,2832.8125,11331.25
2025-03-17,Spain,Affiliate,7,7,0,0,7,0.0,-19488.98,-2784.1400000000003,254.76,2820.5342857142859,19743.74
2025-03-17,Spain,Organic,9,9,0,0,9,0.0,-19025.120000000003,-2113.902222222222,0.0,2113.902222222222,19025.12
2025-03-17,Spain,Paid Search,11,11,0,0,11,0.0,-13737.619999999997,-1248.8745454545453,221.64,1269.0236363636363,13959.26
2025-03-17,Spain,Paid Social,6,6,0,0,6,0.0,-1392.25,-232.04166666666666,0.0,232.04166666666666,1392.25
2025-03-17,Spain,Partnerships,9,9,0,0,9,0.0,-4680.63,-520.06999999999994,308.91,554.39333333333332,4989.54
2025-03-17,UK,Affiliate,9,9,0,0,9,0.0,-11171.06,-1241.2288888888888,0.0,1241.2288888888888,11171.06
2025-03-17,UK,Organic,18,18,0,1,17,0.055555555555555552,-3411.9700000000007,-189.55388888888888,409.34,212.295,3821.31
2025-03-17,UK,Paid Search,21,21,0,0,21,0.0,-14769.75,-703.32142857142867,160.54,710.96619047619049,14930.29
2025-03-17,UK,Paid Social,12,0,12,0,0,,,,0.0,,
2025-03-17,UK,Partnerships,6,6,0,0,6,0.0,-14535.359999999999,-2422.56,0.0,2422.56,14535.36
2025-03-24,France,Affiliate,8,8,0,0,8,0.0,-4752.67,-594.08375,42.03,599.3375,4794.7
2025-03-24,France,Organic,11,11,0,0,11,0.0,-2495.2899999999995,-226.84454545454545,0.0,226.84454545454545,2495.29
2025-03-24,France,Paid Search,10,10,0,0,10,0.0,-9005.52,-900.55199999999991,330.2,933.57199999999989,9335.72
